XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,211,251.73051576284064,1.5421261634071608,-999.0,-999.0
1_2,XY,2291,250.2877310681735,1.7256908851730752,-999.0,-999.0
1_2,XY,2451,249.65426530829933,2.0431281993168975,-999.0,-999.0
1_2,XY,131,252.1049680024118,10.033161719234524,-999.0,-999.0
1_2,XY,1871,246.95285147298205,3.844925334517833,-999.0,-999.0
1_2,XY,251,251.10331949226017,1.8868760228524892,-999.0,-999.0
1_2,XY,171,248.61614869943034,3.5987456486376277,-999.0,-999.0
1_2,XY,1631,249.41545401501946,1.590708390411486,-999.0,-999.0
1_2,XY,1711,246.00408631547015,1.8330849022172027,-999.0,-999.0
1_2,XY,1831,252.67538000819232,2.0103522407015686,-999.0,-999.0
1_2,XY,851,248.60815733604358,1.675642148986083,-999.0,-999.0
1_2,XY,971,250.81126012942352,2.307059597665521,-999.0,-999.0
1_2,XY,sum,8.21068349591078,0.009213261934136947,-999.0,-999.0
1_2,XY,1,248.402775208471,3.3589733406755435,-999.0,-999.0
1_2,XY,811,250.61598116593845,1.5541461544311612,-999.0,-999.0
1_2,XY,931,251.00934212091227,1.5826762272825377,-999.0,-999.0
1_2,XY,1671,250.79733936000338,1.9251918002051647,-999.0,-999.0
1_2,XY,1751,253.21586629315726,10.372838735188084,-999.0,-999.0
1_2,XY,891,250.79110977723914,1.7869733216615276,-999.0,-999.0
1_2,XY,771,248.92072602023944,1.4627895146125682,-999.0,-999.0
1_2,XY,1791,252.3726974143306,1.9658854536433594,-999.0,-999.0
1_2,XY,91,253.70965196076514,1.8415600387607651,-999.0,-999.0
1_2,XY,2331,248.7438453772978,2.0401911362996112,-999.0,-999.0
1_2,XY,2211,253.00533199825426,1.7662064744066344,-999.0,-999.0
1_2,XY,51,254.07358735008023,1.613944205367383,-999.0,-999.0
1_2,XY,1011,250.78893052783235,1.7832296348670214,-999.0,-999.0
1_2,XY,2411,253.17127021566066,1.8765690124456271,-999.0,-999.0
1_2,XY,2674,249.16147234526815,4.210544732944388,-999.0,-999.0
1_2,XY,2371,250.90167204839594,0.5532782708803144,-999.0,-999.0
1_2,XY,2251,251.0226961931834,1.7492193484685017,-999.0,-999.0
1_2,XY,291,248.96844873444783,2.829551414343616,-999.0,-999.0
4_3,XY,211,252.85470093350946,3.5784507459846404,-999.0,-999.0
4_3,XY,2291,252.26526672702803,2.0074354500036393,-999.0,-999.0
4_3,XY,2451,250.49583379948496,1.9045334557729037,-999.0,-999.0
4_3,XY,131,254.73460476346784,1.9934516994702876,-999.0,-999.0
4_3,XY,1871,251.23482555980374,1.7709369869247154,-999.0,-999.0
4_3,XY,251,253.85928507716898,1.8963940206907717,-999.0,-999.0
4_3,XY,171,250.9256335321333,2.0874758870949632,-999.0,-999.0
4_3,XY,1631,251.4663864450122,1.5539014425641287,-999.0,-999.0
4_3,XY,1711,254.56026569918802,1.8983942739521862,-999.0,-999.0
4_3,XY,1831,251.8556373196686,1.8530295029649384,-999.0,-999.0
4_3,XY,851,252.89863994795334,1.5887650647739398,-999.0,-999.0
4_3,XY,971,252.24372000451436,2.2110485998876794,-999.0,-999.0
4_3,XY,sum,8.250625146373382,0.011828623650496632,-999.0,-999.0
4_3,XY,1,250.45287197612183,1.0956546288433886,-999.0,-999.0
4_3,XY,811,253.50883647232382,2.766693170605383,-999.0,-999.0
4_3,XY,931,252.92549513792645,1.5627693264853915,-999.0,-999.0
4_3,XY,1671,252.16341464194474,2.1831025862131486,-999.0,-999.0
4_3,XY,1751,248.43929229022763,1.8518741722233643,-999.0,-999.0
4_3,XY,891,249.60340539200695,1.5672039966550781,-999.0,-999.0
4_3,XY,771,255.71013513528501,1.5697323698405083,-999.0,-999.0
4_3,XY,1791,253.60275756502477,3.4954530651702407,-999.0,-999.0
4_3,XY,91,250.8012237230186,1.8638135453206872,-999.0,-999.0
4_3,XY,2331,248.75631136031356,2.0206482918563102,-999.0,-999.0
4_3,XY,2211,255.04728073696916,1.458818038590971,-999.0,-999.0
4_3,XY,51,250.9962800428062,1.4276482919628692,-999.0,-999.0
4_3,XY,1011,253.79405355903765,1.688722650301093,-999.0,-999.0
4_3,XY,2411,250.03940629566216,4.067526662559714,-999.0,-999.0
4_3,XY,2674,251.51144844452887,2.601582182798351,-999.0,-999.0
4_3,XY,2371,253.45690707880865,2.338217940820154,-999.0,-999.0
4_3,XY,2251,253.50172521816518,2.0990525373421325,-999.0,-999.0
4_3,XY,291,254.93568016934512,1.7683442587159475,-999.0,-999.0
5_6,XY,211,247.81934511940094,1.1426945803266408,-999.0,-999.0
5_6,XY,2291,249.39554419800615,1.7582608060845384,-999.0,-999.0
5_6,XY,2451,245.87193124059047,1.7569424056011549,-999.0,-999.0
5_6,XY,131,247.14734979649768,4.688899893424889,-999.0,-999.0
5_6,XY,1871,247.7291787062952,1.6297540349550905,-999.0,-999.0
5_6,XY,251,245.74659914044187,3.0036152390784325,-999.0,-999.0
5_6,XY,171,245.96414144503152,3.038755171636198,-999.0,-999.0
5_6,XY,1631,248.54082035114595,2.5500456206584574,-999.0,-999.0
5_6,XY,1711,249.91401989146132,1.9660788109427474,-999.0,-999.0
5_6,XY,1831,245.836843919183,2.0439095979503867,-999.0,-999.0
5_6,XY,851,248.101046882001,1.9494140099243782,-999.0,-999.0
5_6,XY,971,246.39311126025845,1.277627283778635,-999.0,-999.0
5_6,XY,sum,8.180875020771534,0.012242530132136126,-999.0,-999.0
5_6,XY,1,245.66746864156505,2.461031755391698,-999.0,-999.0
5_6,XY,811,248.78230707631323,1.701699137470297,-999.0,-999.0
5_6,XY,931,252.7553905972981,7.156142737788598,-999.0,-999.0
5_6,XY,1671,246.8056031846024,2.439801106072634,-999.0,-999.0
5_6,XY,1751,243.95265764276758,1.2985190347631386,-999.0,-999.0
5_6,XY,891,246.83800016223967,6.628007573056149,-999.0,-999.0
5_6,XY,771,248.64774205801638,1.8130728877884386,-999.0,-999.0
5_6,XY,1791,249.84651698239355,1.8486066148737683,-999.0,-999.0
5_6,XY,91,248.97691806051282,2.9646187256563206,-999.0,-999.0
5_6,XY,2331,248.32738069711021,5.039257018347952,-999.0,-999.0
5_6,XY,2211,246.12675014434146,2.2093832021445987,-999.0,-999.0
5_6,XY,51,251.14920700567208,1.7563557952785105,-999.0,-999.0
