XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,211,243.47214182121266,0.9562164362911721,-999.0,-999.0
1_2,XY,2291,243.8224360913069,1.8636362276106495,-999.0,-999.0
1_2,XY,2451,243.20429400846712,1.9900843268054775,-999.0,-999.0
1_2,XY,131,244.7807307233977,1.934755723548848,-999.0,-999.0
1_2,XY,1871,241.41267428040555,1.8623623553632065,-999.0,-999.0
1_2,XY,251,244.64403371566354,1.7304732582002862,-999.0,-999.0
1_2,XY,171,242.1967932742096,3.7314462939779234,-999.0,-999.0
1_2,XY,1631,242.97221293245005,1.486208795883669,-999.0,-999.0
1_2,XY,1711,240.1314021997111,1.6786409533197373,-999.0,-999.0
1_2,XY,1831,246.1475604430086,1.918611139115866,-999.0,-999.0
1_2,XY,851,242.18605691370237,1.583452370992555,-999.0,-999.0
1_2,XY,971,244.32985155887334,2.3118477456952564,-999.0,-999.0
1_2,XY,sum,7.998585490369112,0.0091356101146613,-999.0,-999.0
1_2,XY,1,241.98621526564108,3.4626057897791847,-999.0,-999.0
1_2,XY,811,244.14243452018047,1.518237274990043,-999.0,-999.0
1_2,XY,931,244.52484186729254,2.5042221488994407,-999.0,-999.0
1_2,XY,1671,244.21146791924366,3.545447044077173,-999.0,-999.0
1_2,XY,1751,243.67706839024996,2.2002910313455932,-999.0,-999.0
1_2,XY,891,242.56066199470337,2.62824521019678,-999.0,-999.0
1_2,XY,771,242.49180294027366,1.5978420166669347,-999.0,-999.0
1_2,XY,1791,245.85186451799584,1.7803456209495674,-999.0,-999.0
1_2,XY,91,247.15558282162868,2.0570297674006044,-999.0,-999.0
1_2,XY,2331,242.3183614534138,1.981658080312368,-999.0,-999.0
1_2,XY,2211,246.46919569147616,1.7169466186634827,-999.0,-999.0
1_2,XY,51,247.51012906558597,1.5977471338403562,-999.0,-999.0
1_2,XY,1011,244.3104930335243,1.6549540488054058,-999.0,-999.0
1_2,XY,2411,246.63118958025333,1.8263232402311336,-999.0,-999.0
1_2,XY,2674,242.72485437649752,4.13801641349969,-999.0,-999.0
1_2,XY,2371,244.4204364061844,0.4896157789017559,-999.0,-999.0
1_2,XY,2251,244.53833179289836,1.7679066288142211,-999.0,-999.0
