XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,211,245.71242945670883,2.3786827348885686,-999.0,-999.0
1_2,XY,2291,245.8519599940975,2.016787429280665,-999.0,-999.0
1_2,XY,2451,245.35106963454075,1.9935504408331843,-999.0,-999.0
1_2,XY,131,247.52824168443837,2.007446417591444,-999.0,-999.0
1_2,XY,1871,243.1109366720696,1.842256408053861,-999.0,-999.0
1_2,XY,251,246.72483082598518,1.9224640238290296,-999.0,-999.0
1_2,XY,171,244.1670054433625,2.1761041340769607,-999.0,-999.0
1_2,XY,1631,245.21162954048307,1.5764523566876254,-999.0,-999.0
1_2,XY,1711,241.8690862949848,1.8394138804517224,-999.0,-999.0
1_2,XY,1831,248.12454102753838,1.8973637426510102,-999.0,-999.0
1_2,XY,851,244.39883473442953,1.33387533352684,-999.0,-999.0
1_2,XY,971,246.4153014520631,1.8448242971519826,-999.0,-999.0
1_2,XY,sum,8.21434210112443,0.012334203336373918,-999.0,-999.0
1_2,XY,1,245.87682272400934,1.4195944513191467,-999.0,-999.0
1_2,XY,811,245.86733335477732,1.5036837411445854,-999.0,-999.0
1_2,XY,931,246.4899988288073,1.5745756143257572,-999.0,-999.0
1_2,XY,1671,246.10358738032582,1.8682629957256596,-999.0,-999.0
1_2,XY,1751,245.79882842048497,2.422726518813801,-999.0,-999.0
1_2,XY,891,246.51231649947374,1.5558802697746175,-999.0,-999.0
1_2,XY,771,244.38039050440108,1.4367790599631949,-999.0,-999.0
1_2,XY,1791,245.8578406225109,1.3890834512257095,-999.0,-999.0
1_2,XY,91,248.53249185435277,3.5417520296991554,-999.0,-999.0
1_2,XY,2331,244.41725733508764,2.0325441374160746,-999.0,-999.0
1_2,XY,2211,248.4264287615515,1.7674157020474215,-999.0,-999.0
1_2,XY,51,249.42795298341966,1.6331764645308648,-999.0,-999.0
1_2,XY,1011,246.04127830513042,2.2006091838471735,-999.0,-999.0
1_2,XY,2411,247.892089170695,3.370744830525416,-999.0,-999.0
1_2,XY,2674,251.57309811803887,4.261396889381345,-999.0,-999.0
1_2,XY,2371,246.57100815954965,1.1987631604975266,-999.0,-999.0
1_2,XY,2251,246.63152115909332,1.7402299557677143,-999.0,-999.0
1_2,XY,291,248.18199234750597,2.116611834344386,-999.0,-999.0
