XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,211,1710.1581024260843,3.51019108004437,0.6446485730343793,0.0013231757155192107
1_2,XY,2291,1706.2016922071011,4.324953765773159,0.6461434104933123,0.0016378722335151441
1_2,XY,2451,1696.2883978414754,3.96264655512039,0.6499195430417518,0.0015182568256771728
1_2,XY,131,1692.6961050522086,4.6471828147425756,0.6512988226898258,0.0017880969224377556
1_2,XY,1871,1696.6250267341597,3.6561423022234125,0.6497905919225235,0.001400266312991843
1_2,XY,251,1700.4229230140572,4.126266488784439,0.6483392839929641,0.0015732678174913957
1_2,XY,171,1685.2271175073129,4.425200541361531,0.6541854026315672,0.001717810951296575
1_2,XY,1631,1712.837713362139,2.8404758882128793,0.6436400668853499,0.0010673772981603087
1_2,XY,1711,1692.795909970708,4.1544994061009355,0.6512604230070674,0.0015983385975021198
1_2,XY,1831,1697.3514076138683,4.256997273031126,0.6495125142895303,0.001628992670420035
1_2,XY,851,1697.4065204439237,4.163117715067736,0.6494914253680564,0.0015929650476582326
1_2,XY,971,1700.6677229122151,4.357195347477323,0.6482459598306042,0.001660838411961016
1_2,XY,sum,69.35788017330367,0.4068315471497018,15.89510777488407,0.09323571124159576
1_2,XY,1,1736.2057525287205,5.835354533573722,0.6349771499066151,0.002134146131601412
1_2,XY,811,1705.2636721999154,3.4740119711947535,0.6464988367282312,0.0013170659381137955
1_2,XY,931,1711.719516463542,3.5466164885003986,0.6440605308221583,0.001334468454811731
1_2,XY,1671,1701.9453976036402,4.171674401680762,0.6477593123401146,0.0015877365663695072
1_2,XY,1751,1692.435566591005,4.416627870965636,0.6513990855278309,0.001699909534552461
1_2,XY,891,1701.4250314343756,4.151977137731932,0.6479574239381812,0.0015812065537480437
1_2,XY,771,1710.0315163794926,2.6017825638254153,0.6446962935082534,0.0009808939539102646
1_2,XY,1791,1709.4258265503495,2.523529236970688,0.6449247245883267,0.000952066110659043
1_2,XY,91,1703.809573776985,4.657008408513271,0.6470505843844138,0.001768577931823536
1_2,XY,2331,1699.4810631951118,4.111281098757369,0.6486985964524327,0.0015692921422562113
1_2,XY,2211,1703.4383213029923,4.051961876554263,0.6471916045359783,0.0015394720640074875
1_2,XY,51,1710.9561752333998,3.853799435423669,0.644347877725019,0.0014513448814984253
1_2,XY,1011,1704.1275507464168,4.112456907735592,0.6469298497693308,0.0015611924872283962
1_2,XY,2411,1698.1093606595193,4.118232132791552,0.6492226036396043,0.0015744859839915187
1_2,XY,2674,1736.9597656240428,8.661244579311902,0.634701506742199,0.0031649005886886126
1_2,XY,2371,1712.4104494923558,3.1091763281741915,0.6438006616456812,0.0011689310689765033
1_2,XY,2251,1695.1150160981065,3.7433659600831386,0.6503694262173603,0.001436227482182817
1_2,XY,291,1702.7424639431363,3.843952648197558,0.6474560914156974,0.0014616365127968784
4_3,XY,211,1723.2484410490358,3.3711641476965295,0.6397516191693373,0.0012515361514916373
4_3,XY,2291,1706.7845459399714,4.260158204635897,0.6459227575118499,0.0016122322770737874
4_3,XY,2451,1706.4663122463164,4.167330229359987,0.6460432136752465,0.0015776903385087845
4_3,XY,131,1698.9000622151882,4.254458934201569,0.6489204426508032,0.0016250546081103467
4_3,XY,1871,1703.3398250119317,3.9189038912245246,0.6472290286434385,0.001489091208706092
4_3,XY,251,1705.977385733142,4.417475790793236,0.6462283671587943,0.0016733505327334764
4_3,XY,171,1699.3382188363585,4.397938780218622,0.6487531252884272,0.0016789927378010425
4_3,XY,1631,1721.5209616294978,3.824108467637903,0.6403935850706325,0.0014225412213230164
4_3,XY,1711,1701.6987893786338,4.318783833465312,0.6478531848722247,0.0016442027688735852
4_3,XY,1831,1710.0942776443694,4.280967754165819,0.6446726328508434,0.0016138424584574702
4_3,XY,851,1708.0941703967133,4.060182660567742,0.6454275176971697,0.001534197388776692
4_3,XY,971,1707.605073776252,3.889190584486229,0.6456123827005046,0.0014704275822241598
4_3,XY,sum,63.07546209094028,0.5133608046520062,17.478286228052944,0.1422528949377306
4_3,XY,1,1748.7135302214542,2.62026022571552,0.6304354380174232,0.0009446400880248244
4_3,XY,811,1710.9725089736985,3.648628778821887,0.6443417264801325,0.001374051163476252
4_3,XY,931,1714.3512039826944,2.745625417542638,0.6430718383905225,0.0010299140460187253
4_3,XY,1671,1708.2184162525803,4.049059952024347,0.6453805730596611,0.0015297719585081486
4_3,XY,1751,1697.7842755488634,4.676427093007668,0.6493469142513728,0.0017885802962713624
4_3,XY,891,1710.6392406716914,4.1657079444559715,0.6444672577248222,0.001569391319698652
4_3,XY,771,1714.6369570480194,4.0747964746543275,0.6429646671620657,0.0015279911868865109
4_3,XY,1791,1720.554041286475,2.6436386082599497,0.6407534747166928,0.0009845204413755021
4_3,XY,91,1709.0013444102158,4.610056182399304,0.6450849111371635,0.0017401260054518476
4_3,XY,2331,1706.935770171455,3.897841055118441,0.6458655326447462,0.00147485408251522
4_3,XY,2211,1717.4286535392841,2.758376008715132,0.6419195220251049,0.0010309921203602607
4_3,XY,51,1717.54677093419,3.892092104292649,0.6418753765829174,0.0014545386055364465
4_3,XY,1011,1709.8376322276035,4.075523738826143,0.6447693977561286,0.0015368552762523035
4_3,XY,2411,1705.1227459957863,4.403368882805927,0.6465522690264325,0.0016696792938950067
4_3,XY,2674,1741.3048633591968,4.2941459887010796,0.6331177288883176,0.0015613003863301637
4_3,XY,2371,1720.9702799995716,7.438525812186429,0.640598500278826,0.0027688499533955625
4_3,XY,2251,1706.6014818673693,4.186008984208307,0.6459920444847214,0.0015845108132575094
4_3,XY,291,1709.7542366114299,4.21673156238713,0.6448008472709562,0.0015902590126228367
5_6,XY,211,1690.3094396892416,4.060787508148172,0.652218436758443,0.0015668849847158973
5_6,XY,2291,1683.4749148519472,3.997608954302605,0.654866295105509,0.001555056949223972
5_6,XY,2451,1676.88071637499,4.183619566999609,0.6574415041132973,0.0016402389948832659
5_6,XY,131,1679.2355607430738,4.7790846599893975,0.6565195533998306,0.0018684469290584974
5_6,XY,1871,1679.7145083070538,4.166200197795292,0.6563323558497404,0.001627902823508139
5_6,XY,251,1676.7046524759057,3.584798278693325,0.6575105393571985,0.0014057589965113283
5_6,XY,171,1670.3738763986478,4.7445213272652635,0.6600025275593142,0.0018746677688742863
5_6,XY,1631,1683.996361858229,3.7282325143130204,0.6546635167166527,0.0014493723764725148
5_6,XY,1711,1680.5199446816432,4.365477905344822,0.6560177901375663,0.0017041339958040215
5_6,XY,1831,1671.1929076406275,5.527485689716022,0.6596790683779203,0.002181894497991889
5_6,XY,851,1676.9271570084188,4.02927917473977,0.6574232970016969,0.0015796404682975728
5_6,XY,971,1679.5309319911605,4.261836824944551,0.6564040943772027,0.001665635975006779
5_6,XY,sum,60.69127076415734,0.01556388466348531,18.164901912767913,0.004658271852511752
5_6,XY,1,1712.200996549568,0.023152473266733458,0.6438794175530905,8.706571852217861e-06
5_6,XY,811,1678.2677588448805,3.889259298986935,0.6568981466646019,0.0015223120458210068
5_6,XY,931,1686.6124609889646,3.8484771935298814,0.6536480702542197,0.001491480555938239
5_6,XY,1671,1675.0308091026336,5.095791529456966,0.6581675837847868,0.002002282453664512
5_6,XY,1751,1675.0335207627222,4.5284940314679005,0.6581665182975913,0.0017793692561241918
5_6,XY,891,1678.0901140735164,3.846850736576828,0.656967686744777,0.0015060315345797946
5_6,XY,771,1686.6816881464483,3.7269565423952113,0.6536212423125775,0.001444266563397845
5_6,XY,1791,1691.185492942392,3.780584424772966,0.6518805802159932,0.0014572556225566542
5_6,XY,91,1683.311330293902,4.3921736974675625,0.6549299351532741,0.0017088734466975313
5_6,XY,2331,1683.2555310776322,4.050125373545222,0.6549516458064807,0.0015758963687633296
5_6,XY,2211,1680.6866339488918,3.664725941478794,0.6559527267744556,0.0014303005245814306
5_6,XY,51,1685.2728486114704,3.2891216753904096,0.6541676508349898,0.0012767291667182359
5_6,XY,1011,1676.8227554730674,4.1427435286466165,0.6574642291761671,0.0016243253330420048
5_6,XY,2411,1676.9383576370606,4.115480938303049,0.6574189059314011,0.0016134134946099777
5_6,XY,2674,1707.8343119693563,4.13653484400971,0.6455257238161978,0.0015635238328190954
5_6,XY,2371,1684.1379840301022,3.348732828004781,0.6546084648919431,0.001301620696558248
5_6,XY,2251,1680.1896576722686,3.9734894491368244,0.6561467482900057,0.0015517249314745648
