XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,211,1681.1104456555697,3.475693641710102,0.6557873596236222,0.001355839505993214
1_2,XY,2291,1675.9708587706668,4.310069208086871,0.6577984185242997,0.0016916503613251521
1_2,XY,2451,1667.3384268559319,4.0041724727507,0.6612040858861674,0.0015879051048851333
1_2,XY,131,1666.4460081416419,4.556920564758608,0.6615581753060029,0.0018090403404055974
1_2,XY,1871,1665.2808796811173,3.7575903511719306,0.6620210403203957,0.0014938043808303803
1_2,XY,251,1671.0218466149202,4.127600717967005,0.6597465991395934,0.0016296438863449634
1_2,XY,171,1657.8716990612054,4.410313918625664,0.6649796730449263,0.0017689964243275918
1_2,XY,1631,1687.7594910311125,3.543863312188722,0.6532038399136066,0.0013715610168107497
1_2,XY,1711,1664.374241840715,4.164925732877853,0.6623816643382446,0.0016575421377212332
1_2,XY,1831,1666.8644293103303,4.315516071170315,0.6613921090441045,0.0017123457827377209
1_2,XY,851,1667.0064185927486,4.173202137724461,0.6613357741734568,0.0016555952249207116
1_2,XY,971,1671.0811128796129,4.383379756597696,0.6597232006843818,0.0017305068560403804
1_2,XY,811,1673.1349667788977,3.343409371807395,0.6589133586243698,0.001316700171938329
1_2,XY,931,1681.8560296000653,3.6538039686253874,0.6554966423935303,0.001424055443061691
1_2,XY,1671,1670.507245233128,4.189101312584217,0.6599498347211923,0.0016549444647781038
1_2,XY,1751,1664.3197825213488,4.4251010231691446,0.6624033385711532,0.0017612010156012599
1_2,XY,891,1671.5845344250401,4.068006427364565,0.6595245156245461,0.0016050339742392894
1_2,XY,771,1679.0311386987285,3.5987577274462086,0.6565994846567117,0.0014073249833096316
1_2,XY,1791,1678.9490081089605,3.764361563606305,0.6566316040972997,0.0014722298056550698
1_2,XY,91,1675.1316022482727,4.545046432729458,0.658127981653803,0.0017856640226238917
1_2,XY,2331,1670.4808839666518,4.086943844748519,0.6599602491555152,0.0016146371406897686
1_2,XY,2211,1672.5559278640546,3.699244971081118,0.6591414744498542,0.0014578440959540837
1_2,XY,51,1680.52488500349,3.635956040742701,0.65601586160973,0.0014193451439655249
1_2,XY,1011,1674.2410212285852,4.108480070809179,0.6584780604546175,0.0016158629218495989
1_2,XY,2411,1668.0586661139828,4.131390164899094,0.660918589248721,0.0016369403636038347
1_2,XY,2674,1756.8435850781416,4.152640341876627,0.6275180043094853,0.0014832604348403479
1_2,XY,2371,1686.3952656948095,5.252662559397533,0.6537322553131917,0.002036198162557899
1_2,XY,2251,1664.9991269996563,3.7669061907303503,0.6621330681288606,0.0014980146914049409
1_2,XY,291,1673.9197542951854,3.844177460662095,0.6586044388109578,0.0015124932558282158
4_3,XY,211,1691.184443049372,5.825220622364203,0.6518809849056614,0.002245379309280157
4_3,XY,2291,1676.3540645292312,4.3376645069109125,0.657648049251312,0.0017017029168463435
4_3,XY,2451,1676.3841616856764,4.091482133273034,0.6576362420911893,0.0016050658293044829
4_3,XY,131,1672.698780430872,4.2362557090602575,0.6590851821558545,0.0016691907702267536
4_3,XY,1871,1671.9183475818927,3.937879521684632,0.6593928357725362,0.0015530719837423415
4_3,XY,251,1675.7915316760475,4.405867617924506,0.65786880978539,0.001729620201014538
4_3,XY,171,1671.8560696355835,4.412139350572195,0.6594173986714416,0.0017402463680766462
4_3,XY,1631,1689.35094595301,4.373206955962092,0.6525884885157676,0.0016893497021413602
4_3,XY,1711,1672.5938326933347,4.318968810826792,0.6591265367856275,0.001701995367387766
4_3,XY,1831,1679.3531414855106,4.231793850098046,0.6564735868579484,0.0016542446129941876
4_3,XY,851,1677.4901395083739,4.10228571325055,0.6572026591555733,0.0016071826688378104
4_3,XY,971,1678.4001842349076,3.89950959160334,0.6568463175513205,0.0015260833140746481
4_3,XY,1,1725.9567018075643,3.443044857924822,0.6387477618862508,0.0012742134230657245
4_3,XY,811,1678.202253205851,3.6836962236932056,0.6569237875149775,0.0014419642630680762
4_3,XY,931,1683.3610676753842,3.457038962774884,0.6549105842839602,0.0013449588745270366
4_3,XY,1671,1677.450011874864,4.055195398407919,0.6572183806299908,0.0015888097612524626
4_3,XY,1751,1669.9941466781606,4.685573800271684,0.6601526014837105,0.0018522183085767333
4_3,XY,891,1679.9377743521763,4.1621488307708345,0.6562451283752389,0.0016258875390901578
4_3,XY,771,1682.7071082419657,3.6872851801103064,0.6551651056754373,0.0014356512626884704
4_3,XY,1791,1688.35343322747,3.7680818521587116,0.6529740507499682,0.0014573131562021834
4_3,XY,91,1680.2737294884842,3.913545058872848,0.6561139182529323,0.001528162547430975
4_3,XY,2331,1677.6290093878065,3.8543893561440603,0.6571482575843505,0.0015098125004204793
4_3,XY,2211,1687.3351323001757,4.2411438532067285,0.653368118335387,0.001642251219638808
4_3,XY,51,1686.9314413042002,3.776436410317482,0.6535244725415931,0.001463007655623245
4_3,XY,1011,1680.6837806475053,4.122985059343764,0.6559538403871686,0.001609159268790897
4_3,XY,2411,1675.0015786483048,4.5776937620521485,0.6581790694679909,0.001798769779696744
4_3,XY,2674,1761.9567431017256,4.475222385617045,0.625696961465363,0.0015892178167967058
4_3,XY,2371,1687.7028457840706,3.7121997165636587,0.6532257637332961,0.0014368077301287374
