XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,1631,9158301.053845288,22383.606951348036,-999.0,-999.0
1_2,XY,2211,9163971.040500388,23554.026441127568,-999.0,-999.0
1_2,XY,771,9208985.727155324,22483.701789945968,-999.0,-999.0
1_2,XY,sum,-113.4387933890088,-2553.9019508283245,-999.0,-999.0
1_2,XY,51,9216775.23631879,32487.304009176332,-999.0,-999.0
1_2,XY,2674,9186095.063803447,34476.969409180245,-999.0,-999.0
4_3,XY,1631,9213309.934877966,33693.209684286165,-999.0,-999.0
4_3,XY,2211,9203575.928580478,32477.95937355582,-999.0,-999.0
4_3,XY,771,9219810.030653406,30597.595874344228,-999.0,-999.0
4_3,XY,sum,-113.4387933890088,-2553.9019508283245,-999.0,-999.0
4_3,XY,51,9160995.251937315,22599.089723099718,-999.0,-999.0
4_3,XY,2674,9200164.61990147,34851.37108461204,-999.0,-999.0
5_6,XY,1631,8940874.534037083,24434.833560565752,-999.0,-999.0
5_6,XY,2211,9027774.94121942,35346.49546955838,-999.0,-999.0
5_6,XY,771,8928157.015621634,532.7045654769113,-999.0,-999.0
5_6,XY,sum,-0.4526700988570703,-82030537.50574309,-999.0,-999.0
5_6,XY,51,9088924.327572271,43206.14374341496,-999.0,-999.0
5_6,XY,2674,8984961.322189977,24932.296738789402,-999.0,-999.0
7_8,XY,1631,9233860.030084334,27786.818791151192,-999.0,-999.0
7_8,XY,2211,9170622.168693986,35502.16026410554,-999.0,-999.0
7_8,XY,771,9114726.103133854,36172.93136965786,-999.0,-999.0
7_8,XY,sum,8516.716578689224,81345.5366398787,-999.0,-999.0
7_8,XY,51,9166310.13416824,39317.991416072065,-999.0,-999.0
7_8,XY,2674,9182880.789530996,27785.164022006502,-999.0,-999.0
9_10,XY,1631,9213891.338165855,40991.29008143783,-999.0,-999.0
9_10,XY,2211,9178303.863841716,40496.536370498354,-999.0,-999.0
9_10,XY,771,9266190.62250142,23711.24881129751,-999.0,-999.0
9_10,XY,sum,-113.4387933890088,-2553.9019508283245,-999.0,-999.0
9_10,XY,51,9221171.246516127,50306.52428489064,-999.0,-999.0
9_10,XY,2674,9284752.524329724,37065.894571422075,-999.0,-999.0
