XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,1631,8867570.731211405,21673.336883174983,-999.0,-999.0
1_2,XY,2211,8873062.54938118,22793.190190964488,-999.0,-999.0
1_2,XY,771,8916648.520053217,21767.33237557253,-999.0,-999.0
1_2,XY,sum,58.52770580277345,1850.9866600417845,-999.0,-999.0
1_2,XY,51,8924186.56144263,31455.98875974873,-999.0,-999.0
1_2,XY,2674,8894486.167686429,33382.47852965162,-999.0,-999.0
4_3,XY,1631,8920833.077441698,32622.84810733255,-999.0,-999.0
4_3,XY,2211,8911393.493945602,31304.07563914994,-999.0,-999.0
4_3,XY,771,8927127.998752411,29626.485747366572,-999.0,-999.0
4_3,XY,sum,58.52770580277345,1850.9866600417845,-999.0,-999.0
4_3,XY,51,8870179.382145137,21879.536207026245,-999.0,-999.0
4_3,XY,2674,8908108.46039319,33779.75839051555,-999.0,-999.0
5_6,XY,1631,8657046.437126413,23551.837377922206,-999.0,-999.0
5_6,XY,2211,8766760.18858876,43207.13985705619,-999.0,-999.0
5_6,XY,771,8644732.369413061,5507.17136888522,-999.0,-999.0
5_6,XY,sum,25592.90399471732,558533.8181619152,-999.0,-999.0
5_6,XY,51,8800394.748740051,41799.88640013051,-999.0,-999.0
5_6,XY,2674,8699734.081756687,24141.038247014854,-999.0,-999.0
7_8,XY,1631,8940862.043184575,26155.007441727674,-999.0,-999.0
7_8,XY,2211,8879501.503758669,34375.2892824843,-999.0,-999.0
7_8,XY,771,8825375.816654906,34868.06771599185,-999.0,-999.0
7_8,XY,sum,16.203391431077634,164.7985083803017,-999.0,-999.0
7_8,XY,51,8875326.073943146,38027.35201015103,-999.0,-999.0
7_8,XY,2674,8778149.64172668,23957.796886553246,-999.0,-999.0
9_10,XY,1631,8921409.990517238,40038.43156322625,-999.0,-999.0
9_10,XY,2211,8886939.909694605,39190.41702658286,-999.0,-999.0
9_10,XY,771,8975426.278300459,31879.73104922215,-999.0,-999.0
9_10,XY,sum,58.52770580277345,1850.9866600417845,-999.0,-999.0
9_10,XY,51,8928448.699131202,48627.698501762825,-999.0,-999.0
9_10,XY,2674,8990007.794539738,35889.000278334504,-999.0,-999.0
