XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,1631,9029855.132096436,32784.9260730699,-999.0,-999.0
1_2,XY,2211,9004511.118059551,48274.43633279841,-999.0,-999.0
1_2,XY,771,9034536.992150685,40884.21069593266,-999.0,-999.0
1_2,XY,sum,-113.4387933890088,-2553.9019508283245,-999.0,-999.0
1_2,XY,51,9043931.856259268,41874.10553486753,-999.0,-999.0
1_2,XY,2674,9040321.805245152,34182.60351172256,-999.0,-999.0
4_3,XY,1631,9059726.631634515,33204.04237762629,-999.0,-999.0
4_3,XY,2211,9045560.946794305,22974.78384279419,-999.0,-999.0
4_3,XY,771,9054790.20325154,30958.77313136884,-999.0,-999.0
4_3,XY,sum,-113.4387933890088,-2553.9019508283245,-999.0,-999.0
4_3,XY,51,9000120.185980795,31399.690548140043,-999.0,-999.0
4_3,XY,2674,9045060.65928649,34509.25236061913,-999.0,-999.0
5_6,XY,1631,8828928.736672426,43750.70627236573,-999.0,-999.0
5_6,XY,2211,8935176.256759683,43047.1165709512,-999.0,-999.0
5_6,XY,771,8824093.665280566,40682.24049598195,-999.0,-999.0
5_6,XY,sum,-0.4526700988570703,-82030537.50574309,-999.0,-999.0
5_6,XY,51,8951760.094260195,42599.36890859242,-999.0,-999.0
5_6,XY,2674,8821402.062510172,24452.69451857636,-999.0,-999.0
7_8,XY,1631,9065841.902153658,27173.325215906432,-999.0,-999.0
7_8,XY,2211,9018499.33264773,21744.540084090226,-999.0,-999.0
7_8,XY,771,8976147.600960363,34359.158442317545,-999.0,-999.0
7_8,XY,sum,8516.716578689224,81345.5366398787,-999.0,-999.0
7_8,XY,51,9035284.470116263,37319.43947259914,-999.0,-999.0
7_8,XY,2674,9014709.34043028,26562.943574562792,-999.0,-999.0
9_10,XY,1631,9044956.613223441,39205.77370729994,-999.0,-999.0
9_10,XY,2211,9001570.823716681,38220.548610610414,-999.0,-999.0
9_10,XY,771,9103836.755031858,32655.037238868437,-999.0,-999.0
9_10,XY,sum,-113.4387933890088,-2553.9019508283245,-999.0,-999.0
9_10,XY,51,9045304.214292513,41709.18918425017,-999.0,-999.0
9_10,XY,2674,9114087.471712729,43542.49714401692,-999.0,-999.0
