XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,211,500.8651897044495,2.171259367522182,-999.0,-999.0
1_2,XY,2291,503.14829673758976,2.8025132145429756,-999.0,-999.0
1_2,XY,2451,498.04392019807665,2.9934184233445564,-999.0,-999.0
1_2,XY,131,498.29842005615706,2.2605884005459314,-999.0,-999.0
1_2,XY,1871,499.08492870376017,3.040299874848724,-999.0,-999.0
1_2,XY,251,501.0583210738234,3.0243816405413173,-999.0,-999.0
1_2,XY,171,496.2898727544595,3.0971248673680356,-999.0,-999.0
1_2,XY,1631,505.71895226706687,5.97616571790696,-999.0,-999.0
1_2,XY,1711,496.75044851555555,3.1604442421636496,-999.0,-999.0
1_2,XY,1831,502.27774836597354,2.952610609268626,-999.0,-999.0
1_2,XY,851,501.01870359153526,2.824445264604904,-999.0,-999.0
1_2,XY,971,502.2030248800327,2.6849555583916396,-999.0,-999.0
1_2,XY,sum,16.425837901788935,0.017938102850826407,-999.0,-999.0
1_2,XY,1,506.348613182867,23.09309709500802,-999.0,-999.0
1_2,XY,811,501.91631471851116,2.6294692980464935,-999.0,-999.0
1_2,XY,931,501.3811375426916,2.336104364696944,-999.0,-999.0
1_2,XY,1671,500.27309591985625,3.0093951324160337,-999.0,-999.0
1_2,XY,1751,498.16697288758644,3.29143632211989,-999.0,-999.0
1_2,XY,891,499.86027777972606,2.1326007957973707,-999.0,-999.0
1_2,XY,771,504.6485943323097,2.818315261239197,-999.0,-999.0
1_2,XY,1791,501.31518837827633,3.171503267171817,-999.0,-999.0
1_2,XY,91,502.15363534997,4.145041936878954,-999.0,-999.0
1_2,XY,2331,500.91292704978434,2.7408038222102813,-999.0,-999.0
1_2,XY,2211,502.13184460571864,2.4496835912050687,-999.0,-999.0
1_2,XY,51,501.8161543095359,2.50206018144503,-999.0,-999.0
1_2,XY,1011,503.3589562929185,2.891656305354087,-999.0,-999.0
1_2,XY,2411,499.3878256383853,3.149418280469151,-999.0,-999.0
1_2,XY,2674,501.10256160171014,2.5755608005554143,-999.0,-999.0
1_2,XY,2371,503.1786462224537,2.0384765698905944,-999.0,-999.0
1_2,XY,2251,498.8427184769867,3.2196716465829343,-999.0,-999.0
1_2,XY,291,501.8137338851428,2.9258388654957166,-999.0,-999.0
4_3,XY,211,503.0035854580274,2.1971722346302074,-999.0,-999.0
4_3,XY,2291,503.60389637795,2.6172520058038424,-999.0,-999.0
4_3,XY,2451,500.81645134264164,2.8247097596335013,-999.0,-999.0
4_3,XY,131,507.14759035187603,2.943787068542533,-999.0,-999.0
4_3,XY,1871,497.86362109515,2.9628860646338624,-999.0,-999.0
4_3,XY,251,500.4207703714946,3.2285935927202436,-999.0,-999.0
4_3,XY,171,502.95689625062,2.9478140471513243,-999.0,-999.0
4_3,XY,1631,505.3984218894,2.473616632664882,-999.0,-999.0
4_3,XY,1711,503.7405413660665,3.2284848588337973,-999.0,-999.0
4_3,XY,1831,502.813786558991,3.0332182073970815,-999.0,-999.0
4_3,XY,851,499.7798332164433,4.1244984424689175,-999.0,-999.0
4_3,XY,971,505.25746700641025,2.653403016108395,-999.0,-999.0
4_3,XY,sum,16.494922331733225,0.016875025557533722,-999.0,-999.0
