XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,211,491.19739120254644,2.312856521221313,-999.0,-999.0
1_2,XY,2291,492.6278657854303,2.876143495477993,-999.0,-999.0
1_2,XY,2451,485.17823521865887,2.9148810088336625,-999.0,-999.0
1_2,XY,131,485.4254295934076,2.1922720731373526,-999.0,-999.0
1_2,XY,1871,486.19316574512163,2.995390675331184,-999.0,-999.0
1_2,XY,251,488.1154007825813,2.8934227914911124,-999.0,-999.0
1_2,XY,171,483.46925775467616,3.1718771339632337,-999.0,-999.0
1_2,XY,1631,487.75998931099076,2.52718335965648,-999.0,-999.0
1_2,XY,1711,483.9178860934494,3.125828449967897,-999.0,-999.0
1_2,XY,1831,489.3030520209,2.870636297334267,-999.0,-999.0
1_2,XY,851,488.07636789672347,2.7054491753237166,-999.0,-999.0
1_2,XY,971,489.22950862104057,2.6184649099852444,-999.0,-999.0
1_2,XY,sum,16.019439131020132,0.012366802119473878,-999.0,-999.0
1_2,XY,1,492.0431115961332,1.6458020867518828,-999.0,-999.0
1_2,XY,811,488.95054089955937,2.6447218942009303,-999.0,-999.0
1_2,XY,931,488.89573548107927,5.156448934606063,-999.0,-999.0
1_2,XY,1671,487.34996213864036,3.250438777221316,-999.0,-999.0
1_2,XY,1751,485.2981614946019,3.4169988255754573,-999.0,-999.0
1_2,XY,891,486.9477797295391,2.079887667689544,-999.0,-999.0
1_2,XY,771,488.86593710840754,2.4367694240433533,-999.0,-999.0
1_2,XY,1791,484.99891158129,2.1985145816608287,-999.0,-999.0
1_2,XY,91,488.6326195526162,3.5534499212115582,-999.0,-999.0
1_2,XY,2331,487.5219627140359,2.858557990143283,-999.0,-999.0
1_2,XY,2211,489.1608522596677,2.3919474510150276,-999.0,-999.0
1_2,XY,51,488.85352684380666,2.352510370131887,-999.0,-999.0
1_2,XY,1011,490.3563664721203,2.817631661749365,-999.0,-999.0
1_2,XY,2411,486.4874074476545,3.0905401936014365,-999.0,-999.0
1_2,XY,2674,491.8537694769276,3.0418217238908185,-999.0,-999.0
