XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,1631,26758.800316152137,47.04971659256204,0.041199566773055064,7.244076406663507e-05
1_2,XY,2211,26699.054474700177,61.072109012367385,0.04129176115344576,9.445184438518193e-05
1_2,XY,771,26755.43984179298,60.16182034102472,0.04120474142496017,9.265227054629161e-05
1_2,XY,sum,4.8796862188531445e-05,0.00041605551522077997,22592661.30950654,192631266.02317733
1_2,XY,51,26807.64869118139,64.23932134709119,0.04112449372536047,9.85468587004019e-05
1_2,XY,2674,26761.239929894957,66.62469945738465,0.04119581092954553,0.00010256096239465187
4_3,XY,1631,26872.978006614172,65.20311386153318,0.04102451838872542,9.953963207785358e-05
4_3,XY,2211,26850.638418873838,61.00605481421855,0.04105865056889011,9.328740151827691e-05
4_3,XY,771,26766.255216999758,60.34883742921788,0.04118809192598483,9.286519326327928e-05
4_3,XY,sum,4.8796862188531445e-05,0.00041605551522077997,22592661.30950654,192631266.02317733
4_3,XY,51,26829.706224640526,63.592888254872314,0.041090684003824866,9.739485234361768e-05
4_3,XY,2674,26703.735005791434,66.61351915516856,0.04128452368753136,0.0001029858710354542
5_6,XY,1631,26303.16307284138,64.84337331659644,0.04191324736645316,0.00010332583721461097
5_6,XY,2211,26280.03045360919,64.46024538601662,0.04195014090026486,0.00010289624211746959
5_6,XY,771,26419.891553233734,60.473319545775844,0.041728066073655756,9.551268098943313e-05
5_6,XY,sum,2.199631797005471e-05,4.375000352416774e-05,50119796.49925996,99686741.9564648
5_6,XY,51,26382.023789695708,64.36832762026084,0.0417879609684361,0.00010195658921547777
5_6,XY,2674,26457.069545966235,67.42213577486137,0.04166942897726335,0.00010618870292058981
7_8,XY,1631,26891.082468349574,67.5259741145148,0.04099689856998974,0.00010294697191423334
7_8,XY,2211,26753.536680136804,64.68052216087017,0.041207672599438895,9.962547429270427e-05
7_8,XY,771,26725.49181265433,61.67535100549667,0.04125091459945198,9.519617655882854e-05
7_8,XY,sum,7.455360530520607e-06,1.3749950964857628e-05,147873597.24307966,272723861.27615875
7_8,XY,51,26867.751986908104,64.7598921864598,0.041032498026978594,9.89014693027934e-05
7_8,XY,2674,26771.08888469728,71.07735645483137,0.041180655188901676,0.00010933481714216659
9_10,XY,1631,26808.11354082417,67.3247061519585,0.04112378063131196,0.00010327643691319439
9_10,XY,2211,26736.430758573457,64.07052913017704,0.041234037196181794,9.881223882083088e-05
9_10,XY,771,26811.978916781685,62.77153826906854,0.04111785198003905,9.626409252065475e-05
9_10,XY,sum,4.8796862188531445e-05,0.00041605551522077997,22592661.30950654,192631266.02317733
9_10,XY,51,26768.876504015167,65.24056368628995,0.04118405866704178,0.00010037295371451343
9_10,XY,2674,26938.746220517365,68.70629696725699,0.04092436119215143,0.0001043761016287284
