Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,51,0.12618540714522952,0.0,0.8243689973041668,0.05231836740355256,0.28029772609343134,0.0009699763200901879,0.8913633271876773,0.11250118061775854,-0.003964162860657908,0.00031488891280661755,0.12618540714522952,0.0,0.28029772609343134,0.0009699763200901879,0.08865814536727312,0.00030680342216084716,0,45.34610548831205,19
1,X,771,0.12520404617728964,0.0,0.7500844817458109,0.03832486139559799,0.28199256116320887,0.0009347961523774873,0.9411704409872208,0.033990035398167806,-0.00361530947114794,0.0003039355884104017,0.12520404617728964,0.0,0.28199256116320887,0.0009347961523774873,0.08850054602887304,0.00029337642656188936,0,28.52327130585176,20
1,X,1631,0.12362885117771596,0.0,0.780986791336195,0.07358626800257084,0.291147170983693,0.0010294522062973543,0.9529863351704619,0.054237443064862834,-0.003512282723016211,0.00031948241616934145,0.12362885117771596,0.0,0.291147170983693,0.0010294522062973543,0.09022405505913568,0.00031901856448717967,0,25.403518219199565,19
1,X,2211,0.12345798690621652,0.0,0.7578816484039621,0.042337079231573205,0.2895439100172023,0.0009724705195525429,0.9410555036151511,0.0376900315801697,-0.00304720761015772,0.0003064650192418529,0.12345798690621652,0.0,0.2895439100172023,0.0009724705195525429,0.0896032083029877,0.0003009439173726853,0,59.22323798066994,18
1,X,2674,0.12070532404074405,0.0,0.6652884497204469,0.06182494692174251,0.3048537900175594,0.0010843633626742288,0.9840688968949458,0.011903165980200359,-0.004823790043274438,0.0003240612146067158,0.12070532404074405,0.0,0.3048537900175594,0.0010843633626742288,0.09223759254619807,0.00032808864214090857,0,25.65084655999241,19
1,X,sum,-1.5254307331864972e-05,0.0,1.0046156655612157,1.4232455514761852e-07,0.22359633155799263,9.979117821026694e-08,0.26914494845182263,2.211275322446331e-08,-1.3138869954720395e-05,3.810594378347792e-08,-1.5254307331864972e-05,0.0,0.22359633155799263,9.979117821026694e-08,-8.54962566622695e-06,3.8157031134844146e-12,0,1.4670100743905164e-14,20
10,Y,51,0.11269849565594803,0.0,0.651817709631258,0.04675465869672735,0.29068846991021485,0.0009902967120211381,0.9845630085403052,0.008787195083640342,-0.005077931929076428,0.0002948818156230147,0.11269849565594803,0.0,0.29068846991021485,0.0009902967120211381,0.08211752645130986,0.0002797521225013107,0,33.781489849841925,18
10,Y,771,0.11268673672307669,0.0,0.656746564540395,0.050737901339524105,0.2920819275430397,0.0009612880402456447,0.9867401429171303,0.008335834677293597,-0.005099008804406214,0.0002852392937620148,0.11268673672307669,0.0,0.2920819275430397,0.0009612880402456447,0.08250255961211243,0.0002715290347195155,0,26.168812971430043,18
10,Y,1631,0.11096992409574018,0.0,0.595498374447597,0.06692717887453559,0.30110374194672995,0.0010552080663333019,0.9927410798980153,0.005389952153815658,-0.004692541807659415,0.0003000938636223311,0.11096992409574018,0.0,0.30110374194672995,0.0010552080663333019,0.08375512205713045,0.00029351704439146417,0,28.460861891799308,19
10,Y,2211,0.11134890183370962,0.0,0.5781707933689283,0.06252745480169669,0.29806417270334173,0.0009965461552644272,0.9928855232926161,0.004654499840618498,-0.005060002129043336,0.000288976309899965,0.11134890183370962,0.0,0.29806417270334173,0.0009965461552644272,0.08319278235712184,0.00027814630202555225,0,27.8658229230939,17
