Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,51,0.12729703433840941,0.0,0.8346257130452845,0.02845633276473808,0.27990921067924146,0.0009895721717193828,0.7901534060414137,0.16132072251305563,-0.004027897933032645,0.0003196862699209213,0.12729703433840941,0.0,0.27990921067924146,0.0009895721717193828,0.08931520712123676,0.0003157589679312523,0,42.36291200858183,19
1,X,771,0.12628841317737724,0.0,0.7679114681134733,0.031037591539341325,0.2815248346806563,0.0009514823948132689,0.901609792122035,0.0516424120399267,-0.003673786008236195,0.00030851728812595654,0.12628841317737724,0.0,0.2815248346806563,0.0009514823948132689,0.08911896880438011,0.0003011994659635152,0,25.34838070409258,20
1,X,1631,0.12473546855223068,0.0,0.8151552124918433,0.04931879842101983,0.2907119993803166,0.0010573480420641435,0.8806609413067991,0.11609234940497565,-0.003572236895247108,0.0003243744590105105,0.12473546855223068,0.0,0.2907119993803166,0.0010573480420641435,0.09089559878178648,0.0003305962038341549,0,23.60052465209144,19
1,X,2211,0.1245420903112957,0.0,0.7738008831974348,0.031661724566161176,0.289038348053417,0.0009834883277815287,0.9029091290766638,0.052133587187054076,-0.003101180525396786,0.00031108270276293445,0.1245420903112957,0.0,0.289038348053417,0.0009834883277815287,0.09023220103538342,0.0003070260991525441,0,51.90522576852335,18
1,X,2674,0.12185015314213533,0.0,0.7043816941919961,0.05345040162766318,0.30423420892457226,0.0011045140457553448,0.9688733109866535,0.02172186095328249,-0.004904995331301406,0.0003290173459092334,0.12185015314213533,0.0,0.30423420892457226,0.0011045140457553448,0.09292317904041938,0.000337355081761459,0,23.283867453648913,19
1,X,sum,3.22072235122646e-06,0.0,8.851091783775686,8.120189678330327,0.22000503539879004,3.7516056153691943,0.9999990463259867,0.711495981115567,-7.101597960724388e-05,1.4142135623730951,3.22072235122646e-06,0.0,0.22000503539879004,3.7516056153691943,1.7761344678188863e-06,3.028728879337621e-05,4,0.0,20
10,Y,51,0.11348056239515456,0.0,0.6797336300625717,0.04120761901096692,0.290020632582704,0.0010018701452065293,0.9741228556152126,0.013568117666878488,-0.005143435640168126,0.00029861986514483074,0.11348056239515456,0.0,0.290020632582704,0.0010018701452065293,0.08249740904515454,0.0002849855558316596,0,28.698647071155786,18
10,Y,771,0.1134488888919599,0.0,0.6879752249156507,0.04357408443678773,0.2913652114435216,0.0009732445821051261,0.9760451521107721,0.01352609905515767,-0.005164957741853458,0.00028883519953789194,0.1134488888919599,0.0,0.2913652114435216,0.0009732445821051261,0.08285674676240654,0.00027676564225993696,0,21.16643317058581,18
10,Y,1631,0.11174832249579626,0.0,0.649734627056902,0.06413820107547086,0.30042700200297384,0.0010832926109501095,0.9842565748962606,0.011932956562903052,-0.004760421760219283,0.0003038929277081866,0.11174832249579626,0.0,0.30042700200297384,0.0010832926109501095,0.08415305961677404,0.00030344272340338094,0,25.912044774746324,19
10,Y,2211,0.11211342919823851,0.0,0.6241926666305095,0.05341981056676376,0.29732213045195094,0.0010100256376920913,0.9864349724573311,0.008114731443671086,-0.0051234136157254214,0.00029260615095073173,0.11211342919823851,0.0,0.29732213045195094,0.0010100256376920913,0.08355545465863469,0.00028384416338587536,0,21.900470244346224,17
