XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,1631,26290.680819190067,64.86730787178675,0.04193314688098366,0.00010346214947679011
1_2,XY,2211,26231.055011872453,60.61508212731648,0.04202846511103637,9.711995431512275e-05
1_2,XY,771,26285.830445203934,59.785012237001986,0.04194088456479823,9.539117670884361e-05
1_2,XY,sum,4.8796862188531445e-05,0.00041605551522077997,22592661.30950654,192631266.02317733
1_2,XY,51,26334.186527183156,64.29104752406542,0.04186387072386553,0.00010220448994963747
1_2,XY,2674,26302.960498736767,66.75198856930706,0.04191357016428259,0.00010636879284517838
4_3,XY,1631,26404.063522974782,65.93823681440084,0.041753080143625956,0.00010426896920034709
4_3,XY,2211,26383.825107804576,60.436567556136396,0.04178510795487505,9.571578379695358e-05
4_3,XY,771,26295.73371523831,59.891334597429754,0.041925089154416305,9.548885647252852e-05
4_3,XY,sum,4.8796862188531445e-05,0.00041605551522077997,22592661.30950654,192631266.02317733
4_3,XY,51,26360.020471319007,63.047574634030845,0.04182284234534938,0.00010003136291357283
4_3,XY,2674,26203.625570346823,69.53026217956946,0.04207245968434761,0.00011163757261523629
5_6,XY,1631,25833.75050059785,64.68429007136554,0.042674832690926694,0.00010685212959933997
5_6,XY,2211,25781.08271101981,64.17099714208219,0.042762012470520784,0.0001064377710895186
5_6,XY,771,25862.302438926563,60.910585939495135,0.04262771974751971,0.00010039629662585378
5_6,XY,sum,2.199631797005471e-05,4.375000352416774e-05,50119796.49925996,99686741.9564648
5_6,XY,51,25896.674018535607,64.25916038766957,0.04257114174596611,0.0001056346395441457
5_6,XY,2674,25988.32989486628,66.99733718373221,0.042421001459194745,0.00010936039945355211
7_8,XY,1631,26327.202132734306,68.46607946270511,0.041874976871219015,0.0001088993611819873
7_8,XY,2211,26260.271120590784,64.55419451621898,0.041981705951532264,0.0001032013416644783
7_8,XY,771,26226.19492019118,61.806473433370016,0.04203625359100017,9.906555635374716e-05
7_8,XY,sum,7.455360530520607e-06,1.3749950964857628e-05,147873597.24307966,272723861.27615875
7_8,XY,51,26368.26752598541,64.78650939754003,0.04180976165027578,0.0001027260707740894
7_8,XY,2674,26291.884543140328,69.84031515350262,0.04193122705157289,0.00011138380389773092
9_10,XY,1631,26325.005374160824,67.27012362747672,0.04187847123762649,0.00010701498052684315
9_10,XY,2211,26240.716676027787,63.61094390259309,0.04201299049881901,0.00010184500731422487
9_10,XY,771,26310.160767642534,62.289856896035204,0.04190209972977446,9.920409908787177e-05
9_10,XY,sum,4.8796862188531445e-05,0.00041605551522077997,22592661.30950654,192631266.02317733
9_10,XY,51,26280.106934989795,64.75864571235269,0.04195001881534715,0.00010337196925453266
9_10,XY,2674,26468.969301325094,68.12624545549829,0.04165069549334382,0.00010720120879167387
