XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,1215,nan,nan,-999.0,-999.0
1_2,XY,sum,27.21418494054033,42.018480674760646,-999.0,-999.0
1_2,XY,2589,nan,nan,-999.0,-999.0
1_2,XY,2269,nan,nan,-999.0,-999.0
1_2,XY,644,nan,nan,-999.0,-999.0
1_2,XY,2389,nan,nan,-999.0,-999.0
4_3,XY,1215,nan,nan,-999.0,-999.0
4_3,XY,sum,27.21418494054033,42.018480674760646,-999.0,-999.0
4_3,XY,2589,nan,nan,-999.0,-999.0
4_3,XY,2269,nan,nan,-999.0,-999.0
4_3,XY,644,nan,nan,-999.0,-999.0
4_3,XY,2389,nan,nan,-999.0,-999.0
5_6,XY,1215,6300332.048488503,68685.01453698293,-999.0,-999.0
5_6,XY,sum,27.21418494054033,42.018480674760646,-999.0,-999.0
5_6,XY,2589,6330927.0214496255,72844.8791323132,-999.0,-999.0
5_6,XY,2269,6310128.005954131,60967.634096704875,-999.0,-999.0
5_6,XY,644,6560231.373688217,62858.17906651089,-999.0,-999.0
5_6,XY,2389,6251273.017531581,70421.68823838168,-999.0,-999.0
7_8,XY,1215,6241148.151880177,81333.89526640037,-999.0,-999.0
7_8,XY,sum,2.7361552094600823,10570619.827160416,-999.0,-999.0
7_8,XY,2589,6288288.263443378,277435.40698587516,-999.0,-999.0
7_8,XY,2269,6458284.61709879,96627.0919819559,-999.0,-999.0
7_8,XY,644,6492898.284276055,61975.14237220018,-999.0,-999.0
7_8,XY,2389,6109461.371186204,88931.0070194693,-999.0,-999.0
9_10,XY,1215,6381527.09752925,98792.56447565947,-999.0,-999.0
9_10,XY,sum,2.7361552094600823,10570619.827160416,-999.0,-999.0
9_10,XY,2589,6098168.521468486,5280.129129321389,-999.0,-999.0
9_10,XY,2269,6230366.871014441,56045.43404733478,-999.0,-999.0
9_10,XY,644,6355876.3859081445,281403.5747004963,-999.0,-999.0
9_10,XY,2389,6157858.714699166,135249.7942465461,-999.0,-999.0
