"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
1,X1,1
"[('81', 0.0011335217813294794), ('875', 0.00060926364112954645), ('1610', 0.00087847315697748554), ('1690', 0.0010980603295597841), ('1730', 0.00095643610652572809)]"
"[('81', 8.9561961748939418e-05), ('875', 6.7189530805405987e-05), ('1610', 7.9488494505320137e-05), ('1690', 8.8149891257440313e-05), ('1730', 8.227753875503677e-05)]"
1,X1,2
"[('81', 0.0029022239440041498), ('875', 0.0017597079410103876), ('1610', 0.0020616932147969167), ('1690', 0.0029875050065331153), ('1730', 0.0025803317006552599)]"
"[('81', 0.00013846838378337426), ('875', 0.00010779734513733225), ('1610', 0.0001162280802187278), ('1690', 0.00014015496692727471), ('1730', 0.00013065404651121037)]"
1,X1,3
"[('81', 0.0072355289421157688), ('875', 0.0051675005581163242), ('1610', 0.0054298226608100741), ('1690', 0.0072487081672718201), ('1730', 0.0060537616052317106)]"
"[('81', 0.0002173698008201156), ('875', 0.00018466121827379403), ('1610', 0.0001889856775438759), ('1690', 0.0002199315182853439), ('1730', 0.00019984716283413023)]"
1,X1,4
"[('81', 0.015158313258001946), ('875', 0.011216566005176877), ('1610', 0.013025291291622949), ('1690', 0.015261432269197584), ('1730', 0.015109472928573401)]"
"[('81', 0.0003246990525610554), ('875', 0.00027857160247004821), ('1610', 0.00029996113387432581), ('1690', 0.00032428958414482427), ('1730', 0.00032286413514660795)]"
1,X1,5
"[('81', 0.032783023629890364), ('875', 0.025090860142684076), ('1610', 0.028703915577510668), ('1690', 0.031152836664647687), ('1730', 0.031476296874579375)]"
"[('81', 0.00046877081456972778), ('875', 0.00041173549036056984), ('1610', 0.00044135242068027078), ('1690', 0.00045886036451795706), ('1730', 0.00046068859247874061)]"
1,X1,6
"[('81', 0.056201724292646561), ('875', 0.049244829776072009), ('1610', 0.051796376186367558), ('1690', 0.052983972279359998), ('1730', 0.056360486225676638)]"
"[('81', 0.000622942896606684), ('875', 0.00058461302490499115), ('1610', 0.0005971091265580497), ('1690', 0.00060535381552500461), ('1730', 0.00062402849245167199)]"
1,X1,7
"[('81', 0.091450619840415248), ('875', 0.08092493528904228), ('1610', 0.085738938358528333), ('1690', 0.082884673789999724), ('1730', 0.088995803191783088)]"
"[('81', 0.00079619059538937214), ('875', 0.00074704196495233455), ('1610', 0.00077094793175469913), ('1690', 0.00075721910630815157), ('1730', 0.00078604057350162174)]"
1,X1,8
"[('81', 0.12786531493017386), ('875', 0.11488714865433422), ('1610', 0.12147205124899056), ('1690', 0.11287925570537659), ('1730', 0.12072475570032573)]"
"[('81', 0.00093091127318607921), ('875', 0.0008861645790701441), ('1610', 0.00091060019651248187), ('1690', 0.00087448980094811848), ('1730', 0.00090462346266173554)]"
1,X1,9
"[('81', 0.15625409841723439), ('875', 0.14329200949803964), ('1610', 0.15051737110591093), ('1690', 0.13398539420461919), ('1730', 0.14901635949471939)]"
"[('81', 0.0010397492301973685), ('875', 0.00099499662540656784), ('1610', 0.0010231872891711363), ('1690', 0.00096236025413971415), ('1730', 0.0010167208171566612)]"
1,X1,10
"[('81', 0.1661052515323872), ('875', 0.15196173173560107), ('1610', 0.16060162624073332), ('1690', 0.14387282478895017), ('1730', 0.15962476962262978)]"
"[('81', 0.0010686142514630744), ('875', 0.0010257702786792245), ('1610', 0.0010536348745808373), ('1690', 0.00099777363949716744), ('1730', 0.0010517420074733007)]"
1,X1,11
"[('81', 0.15600139990039169), ('875', 0.14265716381648461), ('1610', 0.1498344370860927), ('1690', 0.13617519584354054), ('1730', 0.14971800842609667)]"
"[('81', 0.0010226286627702281), ('875', 0.00098164611224045551), ('1610', 0.0010033018261112307), ('1690', 0.00096139513374883512), ('1730', 0.0010039683780003696)]"
1,X1,12
"[('81', 0.12941769285990393), ('875', 0.11486160005522192), ('1610', 0.12228035783312165), ('1690', 0.11275771861648157), ('1730', 0.1214537171256989)]"
"[('81', 0.00094459230772199541), ('875', 0.00089124785312692226), ('1610', 0.00091794289166801843), ('1690', 0.00088431631329814861), ('1730', 0.0009167406262993264)]"
1,X1,13
"[('81', 0.089957650766553959), ('875', 0.080687839372829168), ('1610', 0.086125281492715658), ('1690', 0.082493992199708474), ('1730', 0.089791657091078614)]"
"[('81', 0.00076991880969932394), ('875', 0.00072941423377504257), ('1610', 0.00075156825165601068), ('1690', 0.00073700737351372063), ('1730', 0.00076666554713505398)]"
1,X1,14
"[('81', 0.056928077743604928), ('875', 0.049048705472214932), ('1610', 0.052454470811516565), ('1690', 0.05261457702402584), ('1730', 0.056320872169319289)]"
"[('81', 0.00061905576518251639), ('875', 0.00057346040696138552), ('1610', 0.00059587771789882001), ('1690', 0.00059607026674045717), ('1730', 0.00061626029245682057)]"
1,X1,15
"[('81', 0.031594060841173749), ('875', 0.025291291622949914), ('1610', 0.027805389882924674), ('1690', 0.029378063091047145), ('1730', 0.030510744337909946)]"
"[('81', 0.00046798632359721244), ('875', 0.00041744357321393875), ('1610', 0.00043800231559610285), ('1690', 0.0004506895863826705), ('1730', 0.00045867270486886909)]"
1,X1,16
"[('81', 0.01538431233502738), ('875', 0.011983085792328199), ('1610', 0.013420351135214633), ('1690', 0.015200562059659743), ('1730', 0.014904988903334252)]"
"[('81', 0.00031877290806847549), ('875', 0.00028051287868675743), ('1610', 0.00029702715967978139), ('1690', 0.00031652573424849448), ('1730', 0.00031298663812855311)]"
1,X1,17
"[('81', 0.0070058633889468879), ('875', 0.0047669074195666444), ('1610', 0.0056203751731745272), ('1690', 0.0069664219773870337), ('1730', 0.0065331582403151678)]"
"[('81', 0.00021513113801639353), ('875', 0.00017722564533700124), ('1610', 0.00019268183276640295), ('1690', 0.000213932424448918), ('1730', 0.00020768662851943634)]"
1,X1,18
"[('81', 0.0027058742320701318), ('875', 0.0018361923169847789), ('1610', 0.0021880931837791199), ('1690', 0.0028921883304687552), ('1730', 0.0025332707493511512)]"
"[('81', 0.00013683092786235981), ('875', 0.00011290360695906065), ('1610', 0.00012276102986626998), ('1690', 0.00014142547495181641), ('1730', 0.00013242833712541781)]"
1,X1,19
"[('81', 0.0011239509230531084), ('875', 0.00072011198750908552), ('1610', 0.00087490830287979436), ('1690', 0.0010566271384921863), ('1730', 0.00095572052578089773)]"
