XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,2734,327.5464705038306,1.3206692602866872,-999.0,-999.0
1_2,XY,281,329.24687277460936,0.001288728162802834,-999.0,-999.0
1_2,XY,872,324.23359614870054,9.568290049235587,-999.0,-999.0
1_2,XY,1783,326.9630855678598,1.9959083772144266,-999.0,-999.0
1_2,XY,2774,328.9705729491829,2.1547131316872776,-999.0,-999.0
1_2,XY,2654,329.0221528453333,1.2776024664262282,-999.0,-999.0
1_2,XY,81,327.1758840094202,1.4232954397070918,-999.0,-999.0
1_2,XY,1903,330.05302722168136,2.361361224804804,-999.0,-999.0
1_2,XY,1983,327.14125417908065,1.5953136982542704,-999.0,-999.0
1_2,XY,1943,334.77566727176355,2.202729403059184,-999.0,-999.0
1_2,XY,sum,10.269715180517736,0.008362175139338356,-999.0,-999.0
1_2,XY,952,328.3850330854554,1.7460731738342294,-999.0,-999.0
1_2,XY,1072,327.27928209209665,1.2313441452746172,-999.0,-999.0
1_2,XY,41,340.1613993194173,11.723957510519435,-999.0,-999.0
1_2,XY,1,326.68250959535453,4.298136712423212,-999.0,-999.0
1_2,XY,1112,330.9325289928184,2.0779439659793533,-999.0,-999.0
1_2,XY,1032,328.58699818571836,1.2335434382800685,-999.0,-999.0
1_2,XY,912,333.42694832049335,7.737057437138244,-999.0,-999.0
1_2,XY,201,329.16733941163113,9.65073622987825,-999.0,-999.0
1_2,XY,2814,331.1941277861514,1.9461783799305603,-999.0,-999.0
1_2,XY,992,333.76865645254196,4.32732520333774,-999.0,-999.0
1_2,XY,2934,328.48034386434585,4.0914446002514975,-999.0,-999.0
1_2,XY,2854,332.19495306416934,1.8519024160607538,-999.0,-999.0
1_2,XY,1152,331.348742016936,2.2755821191079786,-999.0,-999.0
1_2,XY,121,333.82322795943236,1.8811555231779973,-999.0,-999.0
1_2,XY,1863,328.45399769689664,2.9377681959889905,-999.0,-999.0
1_2,XY,241,325.09672741211506,1.4223957584443911,-999.0,-999.0
1_2,XY,161,327.61365865157677,4.387794077102831,-999.0,-999.0
1_2,XY,2694,333.1862124033302,2.213085524176793,-999.0,-999.0
1_2,XY,2894,329.98925771595236,1.709698201957098,-999.0,-999.0
1_2,XY,1823,329.0870229706602,1.6895230812433315,-999.0,-999.0
1_2,XY,2023,328.2474117410598,1.7264193822161849,-999.0,-999.0
1_2,XY,2063,329.23675226101716,1.5726228973412306,-999.0,-999.0
3_4,XY,2734,325.1270250383478,1.3283414172021661,-999.0,-999.0
3_4,XY,281,327.45933943340253,2.0093707623097337,-999.0,-999.0
3_4,XY,872,328.8780484879615,2.10939738407686,-999.0,-999.0
3_4,XY,1783,328.2296077972266,4.057997954964587,-999.0,-999.0
3_4,XY,2774,327.30502426565783,1.7883316433721794,-999.0,-999.0
3_4,XY,2654,331.0712665394447,1.4116285844546372,-999.0,-999.0
3_4,XY,81,327.4717625114925,1.8093772644228592,-999.0,-999.0
3_4,XY,1903,329.3215580852511,1.3227185311368344,-999.0,-999.0
3_4,XY,1983,326.6535270936438,1.7194340530977117,-999.0,-999.0
3_4,XY,1943,331.5757752406827,1.2981020195738382,-999.0,-999.0
3_4,XY,sum,10.393535238306368,0.061458545294287355,-999.0,-999.0
3_4,XY,952,326.3172660722134,2.055529783715037,-999.0,-999.0
3_4,XY,1072,329.59234418314287,3.7575951795700715,-999.0,-999.0
3_4,XY,41,325.9319278223176,0.989425681897114,-999.0,-999.0
3_4,XY,1,329.9789291183427,1.2961341298778453,-999.0,-999.0
3_4,XY,1112,326.6432506648544,2.1857195907265097,-999.0,-999.0
3_4,XY,1032,328.038285101119,1.2559814808362797,-999.0,-999.0
3_4,XY,912,329.75073347261315,0.049162001040628636,-999.0,-999.0
3_4,XY,201,325.41532087022847,1.7241652273578767,-999.0,-999.0
3_4,XY,2814,327.16117456351606,1.4232188715327982,-999.0,-999.0
3_4,XY,992,327.5328422578787,2.1738314190463996,-999.0,-999.0
3_4,XY,2934,334.0595308932938,2.278454604304473,-999.0,-999.0
3_4,XY,2854,327.15833655199145,1.0155347764703637,-999.0,-999.0
3_4,XY,1152,327.544507881517,2.290201756644887,-999.0,-999.0
3_4,XY,121,331.2342100483784,7.692622705841471,-999.0,-999.0
3_4,XY,1863,325.0381173800142,2.307248936084192,-999.0,-999.0
3_4,XY,241,326.27829150591725,0.03761313185536515,-999.0,-999.0
3_4,XY,161,324.80407215865125,1.3667229034248827,-999.0,-999.0
3_4,XY,2694,330.93136059504496,2.1616408657681703,-999.0,-999.0
3_4,XY,2894,327.31481540579585,3.910524519051684,-999.0,-999.0
3_4,XY,1823,329.65310559327605,2.530366027797023,-999.0,-999.0
3_4,XY,2023,327.1758453801092,1.467972858420819,-999.0,-999.0
3_4,XY,2063,329.705387846265,2.092930766769145,-999.0,-999.0
