XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,2734,1764.037673169913,4.596350140064298,0.6249588640650128,0.001628383455789701
1_2,XY,281,1796.6136827042315,12.279904725404219,0.6136271759506846,0.004194158894666371
1_2,XY,872,1739.4735271167829,1.111463217307957,0.6337842819715082,0.0004049661613918731
1_2,XY,1783,1722.1432207330768,17.66013716250562,0.6401621927372968,0.006564699145741544
1_2,XY,2774,1788.8719167705701,7.421384053335008,0.6162827925558801,0.0025567349155303258
1_2,XY,2654,1758.5307622147611,5.070424998826871,0.6269159482906559,0.0018076057380837516
1_2,XY,81,1766.25359408181,4.351292562661076,0.6241747980505982,0.0015376994366258867
1_2,XY,1903,1750.2827606991036,4.8405599324312165,0.6298702159140346,0.001741961126651024
1_2,XY,1983,1759.931687671206,29.005715549151905,0.6264169161309624,0.010324077355817309
1_2,XY,1943,1743.0311394211622,4.207889436213257,0.6324906970728397,0.0015269095672035982
1_2,XY,952,1744.9740037029212,4.461646842078983,0.6317864782241462,0.0016153868994353577
1_2,XY,1072,1747.315604606949,7.943291808715903,0.630939812753603,0.0028682506086619704
1_2,XY,41,1764.0795579457704,5.878349953972623,0.6249440255834808,0.0020824682580087195
1_2,XY,1,1786.2733754743363,3.709251677053236,0.6171793161835637,0.001281591857678866
1_2,XY,1112,1768.1293006184667,4.519906175736301,0.6235126469577396,0.00159389851333169
1_2,XY,1032,1749.5189720614032,0.09424296262943138,0.6301451987646488,3.394461641551613e-05
1_2,XY,912,1768.0108995069547,4.8272356054332315,0.6235544026903892,0.0017025030871874766
1_2,XY,201,1763.469343692642,4.551243175752959,0.62516027530349,0.0016134425284473528
1_2,XY,2814,1778.3687221906575,5.992494755027565,0.6199226103314046,0.002088927309943809
1_2,XY,992,1743.6158608229723,1.2736059143313085,0.6322785913818249,0.0004618412642271322
1_2,XY,2934,1763.1076087840518,4.251654447876236,0.6252885387707421,0.0015078550984781532
1_2,XY,2854,1772.9533391326102,4.326185601153773,0.621816127959416,0.0015172942908126973
1_2,XY,1152,1749.2214485817688,2.279592205195006,0.6302523795863585,0.0008213473559768703
1_2,XY,121,1796.0129755911858,10.222773757249467,0.6138324140053988,0.003493888952098436
1_2,XY,1863,1731.3089514819198,3.1381400234186545,0.6367731071040268,0.0011542036859044497
1_2,XY,241,1763.260926651693,4.497843467599213,0.6252341691060057,0.0015948889813905463
1_2,XY,161,1756.2558061312347,3.0122724463727693,0.6277280203392974,0.0010766585442069114
1_2,XY,2694,1768.7494510668696,4.190587402682933,0.6232940339442556,0.0014767315547370185
1_2,XY,2894,1775.6175297181317,3.9077099840055096,0.6208831361149967,0.0013664154522524757
1_2,XY,1823,1773.8203545116858,41.622771689429634,0.6215121940551022,0.014583810637618646
1_2,XY,2023,1757.2161314940904,6.412397771754861,0.6273849645659622,0.0022894405968118714
1_2,XY,2063,1731.2823047352113,1.970245501229902,0.636782907892523,0.0007246759561417828
4_3,XY,2734,1763.9752102066557,3.5966754802070255,0.6249809940713402,0.0012743114551527388
4_3,XY,281,1766.1967776693834,3.342438571796692,0.6241948769983127,0.0011812574111646325
4_3,XY,872,1746.4026476044883,0.2291504561305025,0.6312696455793689,8.283068479326627e-05
4_3,XY,1783,1754.5662870409642,24.49809988402321,0.6283324765412056,0.008773080780345999
4_3,XY,2774,1773.5812953112115,4.02420909350547,0.621595967045147,0.001410384824018162
4_3,XY,2654,1758.1352478769816,3.96763889360709,0.6270569808115789,0.0014150991333460475
4_3,XY,81,1760.468377881521,4.819097660931839,0.6262259488686774,0.0017142278971459975
4_3,XY,1903,1739.9442385665882,2.910574027321915,0.6336128227306784,0.0010599058201642823
4_3,XY,1983,1734.5212698820428,2.308566599552884,0.635593808813385,0.0008459456008913442
4_3,XY,1943,1722.7069956797638,0.018624992756358538,0.6399526925686746,6.918828502696442e-06
4_3,XY,952,1755.9887201246743,4.50944165326188,0.6278234978148854,0.001612273131083669
4_3,XY,1072,1750.0045991898492,4.320140453067713,0.6299703331651402,0.0015551732388584532
4_3,XY,41,1764.685890616288,5.048939861069521,0.624729299562283,0.001787411957964084
4_3,XY,1,1777.455422417408,4.397955082769704,0.6202411416274963,0.0015346616556231984
4_3,XY,1112,1762.2595045097114,3.9906487781917694,0.6255894648721877,0.0014166516493474136
4_3,XY,1032,1749.3025140170234,0.6898266925614024,0.6302231726978633,0.000248524633855005
4_3,XY,912,1747.4824615025718,4.44614388762275,0.6308795679953291,0.00160515564354028
4_3,XY,201,1768.419191871424,4.4791821242037875,0.6234104365410623,0.0015790197800566678
4_3,XY,2814,1784.1017952544726,5.2495027054702925,0.617930536993216,0.0018181855062120598
4_3,XY,992,1747.0067139118826,0.07367486462743911,0.6310513701023839,2.6612733594564854e-05
4_3,XY,2934,1765.544107892495,4.105438190308469,0.6244256235026249,0.001451983436876531
4_3,XY,2854,1790.4017798487125,6.66650671791376,0.6157561910407133,0.0022927494992307077
