"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
1,X1,1
"[('41', 0.28908795544209792), ('281', 0.4251070032588411), ('872', 0.50211648070103787), ('1783', 0.50536995609353097), ('2063', 0.39473195550851392)]"
"[('41', 0.034835538832757099), ('281', 0.067382693758247889), ('872', 0.090439922452991692), ('1783', 0.087399852098740238), ('2063', 0.067663620571121186)]"
1,X1,2
"[('41', 0.55493637717834132), ('281', 0.34832206934309845), ('872', 0.41277034909808846), ('1783', 0.53303660364151939), ('2063', 0.40709195670513904)]"
"[('41', 0.10621197042025682), ('281', 0.046107757712208763), ('872', 0.066024446060599137), ('1783', 0.089532751498166474), ('2063', 0.061135347083382273)]"
1,X1,3
"[('41', 0.51201040872179104), ('281', 0.43537805698900606), ('872', 0.42563062537577284), ('1783', 0.46531472923863787), ('2063', 0.39717998887073902)]"
"[('41', 0.063519026964920247), ('281', 0.056397993956712286), ('872', 0.067576375376593362), ('1783', 0.073155082694346826), ('2063', 0.049778493671121284)]"
1,X1,4
"[('41', 0.65664714127902124), ('281', 0.54133048604985845), ('872', 0.58883545619963606), ('1783', 0.60459115001531616), ('2063', 0.62839820248087352)]"
"[('41', 0.055711885500412554), ('281', 0.060534533696296237), ('872', 0.054201093718231501), ('1783', 0.060763568349484091), ('2063', 0.071896188732112246)]"
1,X1,5
"[('41', 1.4682043688947004), ('281', 1.1557006577682041), ('872', 1.0158067803780551), ('1783', 1.1604234371093975), ('2063', 1.343212963408184)]"
"[('41', 0.10251492652138222), ('281', 0.10408673444424263), ('872', 0.064047623252884239), ('1783', 0.09238220700683375), ('2063', 0.13342074147891983)]"
1,X1,6
"[('41', 3.0344227283332437), ('281', 2.3962448730490662), ('872', 2.4247653403686353), ('1783', 2.3209616195698017), ('2063', 2.7423309579795729)]"
"[('41', 0.12008528946817312), ('281', 0.10779691376431293), ('872', 0.10912777798205237), ('1783', 0.086395777731794396), ('2063', 0.12678481115528589)]"
1,X1,7
"[('41', 5.756024488732578), ('281', 5.651111284817218), ('872', 5.1855097131642252), ('1783', 5.0179321963249857), ('2063', 6.0211143440309201)]"
"[('41', 0.12355868420217042), ('281', 0.14566602998219177), ('872', 0.13770745112756544), ('1783', 0.13341431779343349), ('2063', 0.13556634646958388)]"
1,X1,8
"[('41', 11.288766975781373), ('281', 11.201394562876031), ('872', 10.418818811384861), ('1783', 10.280185657925273), ('2063', 12.097130919220056)]"
"[('41', 0.17665547094039227), ('281', 0.18248467806206378), ('872', 0.1757688723041225), ('1783', 0.16757067446952134), ('2063', 0.18333627657295642)]"
1,X1,9
"[('41', 19.387342088564999), ('281', 20.311966305100391), ('872', 19.418349982213421), ('1783', 19.190855253037995), ('2063', 23.227796368951459)]"
"[('41', 0.23139647044598394), ('281', 0.23695103524229766), ('872', 0.22842082852547774), ('1783', 0.23123472861742483), ('2063', 0.26123965573121599)]"
1,X1,10
