"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
1,X1,1
"[('41', 0.074040380598746805), ('281', 0.13889533642195959), ('872', 0.17660546200545829), ('1783', 0.18123253719982549), ('2063', 0.12595398585037046)]"
"[('41', 0.017397146827871222), ('281', 0.033554081213347589), ('872', 0.044259055306174501), ('1783', 0.042446070226322997), ('2063', 0.034425823609186251)]"
1,X1,2
"[('41', 0.19961772465406774), ('281', 0.10054121004873583), ('872', 0.13622004846091718), ('1783', 0.19446862352719474), ('2063', 0.1310333686345605)]"
"[('41', 0.050145027775250033), ('281', 0.022023103294999281), ('872', 0.032997484975755637), ('1783', 0.043942240610531653), ('2063', 0.029887287400325244)]"
1,X1,3
"[('41', 0.17334110996455651), ('281', 0.13820955799865381), ('872', 0.13822159605875967), ('1783', 0.15010991969132756), ('2063', 0.1202498698594482)]"
"[('41', 0.029865096681189217), ('281', 0.026858986151915999), ('872', 0.03173548309745991), ('1783', 0.033996257787812345), ('2063', 0.023137025307807983)]"
1,X1,4
"[('41', 0.21701957799170093), ('281', 0.17650062671185182), ('872', 0.19220914256006535), ('1783', 0.19778332668083803), ('2063', 0.21302829978459481)]"
"[('41', 0.027012722404910209), ('281', 0.029056408951012889), ('872', 0.024577038410133523), ('1783', 0.027190830686949701), ('2063', 0.034335240689590166)]"
1,X1,5
"[('41', 0.5126721021459888), ('281', 0.40250798169019503), ('872', 0.33584600888410282), ('1783', 0.4075534103801704), ('2063', 0.47898254555945569)]"
"[('41', 0.046451250051125763), ('281', 0.047387449620052521), ('872', 0.028590929736566899), ('1783', 0.041256867264632076), ('2063', 0.061154487080358165)]"
1,X1,6
"[('41', 1.07422961646835), ('281', 0.82523043232424764), ('872', 0.84909097435345215), ('1783', 0.80851961197806832), ('2063', 0.95746800452334369)]"
"[('41', 0.052107992622733294), ('281', 0.047552120301237483), ('872', 0.048027571567407931), ('1783', 0.035783490392514564), ('2063', 0.055805211065875375)]"
