"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
1,X1,1
"[('41', 4.2424113866321617e-05), ('281', 3.181369897878026e-05), ('872', 2.1245631367050151e-05), ('1783', 3.1805266952207286e-05), ('2063', 2.1219708865594364e-05)]"
"[('41', 2.1211606977029169e-05), ('281', 1.8367355495585753e-05), ('872', 1.5022770423566621e-05), ('1783', 1.8362487417631851e-05), ('2063', 1.5004440836199363e-05)]"
1,X1,2
"[('41', 0.00010249577204940297), ('281', 8.1998298535305387e-05), ('872', 7.1819179824966398e-05), ('1783', 4.1066075315182127e-05), ('2063', 7.1741893166072233e-05)]"
"[('41', 3.2410347931844858e-05), ('281', 2.8989587848498076e-05), ('872', 2.7144123667642299e-05), ('1783', 2.0532616047627112e-05), ('2063', 2.7114914153224301e-05)]"
1,X1,3
"[('41', 0.00031807268473866738), ('281', 0.00026669949121943212), ('872', 0.00017419996106118519), ('1783', 0.00019497978367506106), ('2063', 0.00021521685660408298)]"
"[('41', 5.7118454531282761e-05), ('281', 5.22970982612831e-05), ('872', 4.2246016329266649e-05), ('1783', 4.4727069086858576e-05), ('2063', 4.6959114379076193e-05)]"
1,X1,4
"[('41', 0.0010723689798691923), ('281', 0.0006370914650980059), ('872', 0.00082751596681448786), ('1783', 0.0008589789815266496), ('2063', 0.0007110337581848475)]"
"[('41', 0.00010664747290700605), ('281', 8.2221950504982906e-05), ('872', 9.4853094030069519e-05), ('1783', 9.5401108869232955e-05), ('2063', 8.683571112220396e-05)]"
1,X1,5
"[('41', 0.0027531590031590033), ('281', 0.0019909581898780128), ('872', 0.002015196564255038), ('1783', 0.0019981555487242546), ('2063', 0.0023850609454513479)]"
"[('41', 0.00017491956992340141), ('281', 0.0001486555343042671), ('872', 0.00015043831856591648), ('1783', 0.00014877748552911141), ('2063', 0.0001617152908200996)]"
1,X1,6
"[('41', 0.007084708922016938), ('281', 0.0059383397263645873), ('872', 0.006050351228016203), ('1783', 0.0059911568882915966), ('2063', 0.006670492038444986)]"
