XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-4901783388.576415,-10575074.105620556,-999.0,-999.0
1_2,XY,1783,8625366.891028063,25649.020018993793,-999.0,-999.0
1_2,XY,872,8743667.043024093,37416.59158306367,-999.0,-999.0
1_2,XY,41,8650126.521168597,37712.95592281556,-999.0,-999.0
1_2,XY,281,8688716.058038294,35656.88321579904,-999.0,-999.0
1_2,XY,2063,8694818.93451217,23448.502003402667,-999.0,-999.0
4_3,XY,sum,-6669947493.719036,-299610.44834598893,-999.0,-999.0
4_3,XY,1783,8638838.06324862,35559.558145232746,-999.0,-999.0
4_3,XY,872,8707487.849317715,25481.10391415377,-999.0,-999.0
4_3,XY,41,8655744.386915576,37757.61069700806,-999.0,-999.0
4_3,XY,281,8704638.959796173,35342.49702033662,-999.0,-999.0
4_3,XY,2063,8691648.744333897,30906.725328236756,-999.0,-999.0
5_6,XY,sum,-1942219157.8571525,-261381.05960464067,-999.0,-999.0
5_6,XY,1783,8550318.536562815,33082.15935292536,-999.0,-999.0
5_6,XY,872,8612568.595918309,24683.71601023662,-999.0,-999.0
5_6,XY,41,8548978.555042267,90439.92570142508,-999.0,-999.0
5_6,XY,281,8575700.204420578,33228.30801075541,-999.0,-999.0
5_6,XY,2063,8604561.726185,202.34374503208838,-999.0,-999.0
7_8,XY,sum,-488053675.0560745,-2043875.2110360672,-999.0,-999.0
7_8,XY,1783,8664497.336354664,19770.921842697073,-999.0,-999.0
7_8,XY,872,8693321.813055377,24654.394796120596,-999.0,-999.0
7_8,XY,41,8667058.497163326,36378.294491451896,-999.0,-999.0
7_8,XY,281,8661489.674232347,42596.14558174541,-999.0,-999.0
7_8,XY,2063,8651706.068228524,21913.10162289169,-999.0,-999.0
9_10,XY,sum,-1533021528.9241292,-126721671.04400681,-999.0,-999.0
9_10,XY,1783,8694003.754284434,35157.756963314394,-999.0,-999.0
9_10,XY,872,8736126.753289387,25288.414392774794,-999.0,-999.0
9_10,XY,41,8648859.603692045,36955.32406117951,-999.0,-999.0
9_10,XY,281,8714618.841693124,25536.525500898857,-999.0,-999.0
9_10,XY,2063,8674231.810900256,423.4223797793488,-999.0,-999.0
