XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-507098449.9173434,-65925607585.16987,-999.0,-999.0
1_2,XY,1783,8528648.28260426,27061.46917825666,-999.0,-999.0
1_2,XY,872,8622409.881963918,29076.94116905672,-999.0,-999.0
1_2,XY,41,8562400.687165152,30851.03523703366,-999.0,-999.0
1_2,XY,281,8570864.299628453,28072.270654490585,-999.0,-999.0
1_2,XY,2063,8588352.5350829,25261.011951914727,-999.0,-999.0
4_3,XY,sum,-792666323.3049306,-37868888873.248886,-999.0,-999.0
4_3,XY,1783,8541352.638679937,27073.23351876082,-999.0,-999.0
4_3,XY,872,8609786.162130157,28942.576312099132,-999.0,-999.0
4_3,XY,41,8575156.735476,30929.293153525796,-999.0,-999.0
4_3,XY,281,8602824.043003958,27803.572593451594,-999.0,-999.0
4_3,XY,2063,8583475.547511391,25669.517031834202,-999.0,-999.0
5_6,XY,sum,-275464480.57753944,-145638168.66938806,-999.0,-999.0
5_6,XY,1783,8448189.78460658,24599.301792936167,-999.0,-999.0
5_6,XY,872,8496896.939536357,25992.939054940598,-999.0,-999.0
5_6,XY,41,8482891.214181574,26144.10437458567,-999.0,-999.0
5_6,XY,281,8482318.491973057,24420.67832507472,-999.0,-999.0
5_6,XY,2063,8509499.825378578,23207.309970397364,-999.0,-999.0
7_8,XY,sum,-274338589.70008034,-145267927.7993088,-999.0,-999.0
7_8,XY,1783,8568412.577609653,24754.83016998164,-999.0,-999.0
7_8,XY,872,8583561.178174965,25989.073502523665,-999.0,-999.0
7_8,XY,41,8576512.380452216,29589.381934707475,-999.0,-999.0
7_8,XY,281,8563071.62488956,26154.603723212338,-999.0,-999.0
7_8,XY,2063,8573542.583102401,22690.663418872355,-999.0,-999.0
9_10,XY,sum,-1106384411.7544534,-66701334496.90486,-999.0,-999.0
9_10,XY,1783,8590162.779473769,27342.730238650973,-999.0,-999.0
9_10,XY,872,8639217.827202583,28490.629148440326,-999.0,-999.0
9_10,XY,41,8563219.96419579,29547.483031559314,-999.0,-999.0
9_10,XY,281,8619866.490027592,26824.88380451757,-999.0,-999.0
9_10,XY,2063,8576117.794239508,25084.871643697978,-999.0,-999.0
