XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-1581053410.2400138,-8034474.8733224515,-999.0,-999.0
1_2,XY,1783,8391154.747015528,24970.297661649744,-999.0,-999.0
1_2,XY,872,8508154.399659645,36489.11456762242,-999.0,-999.0
1_2,XY,41,8426218.92155721,41193.70547086302,-999.0,-999.0
1_2,XY,281,8453041.707658565,34810.8269309234,-999.0,-999.0
1_2,XY,2063,8456987.132876575,22838.66832805933,-999.0,-999.0
4_3,XY,sum,-294507643.0578152,-658855.5458298229,-999.0,-999.0
4_3,XY,1783,8410612.46956329,24405.24370571789,-999.0,-999.0
4_3,XY,872,8479031.308864698,24842.865434877134,-999.0,-999.0
4_3,XY,41,8429782.679068455,26630.725979030263,-999.0,-999.0
4_3,XY,281,8474023.566870118,23983.019296356524,-999.0,-999.0
4_3,XY,2063,8460138.542302273,29962.08557364119,-999.0,-999.0
5_6,XY,sum,-6735377655.894589,-246662.41146926384,-999.0,-999.0
5_6,XY,1783,8321942.377053565,22819.327682823056,-999.0,-999.0
5_6,XY,872,8385973.996565036,24051.155403899662,-999.0,-999.0
5_6,XY,41,8339446.713125495,86497.6332474449,-999.0,-999.0
5_6,XY,281,8346234.318786583,32403.267582993387,-999.0,-999.0
5_6,XY,2063,8374626.839504683,21203.32809246467,-999.0,-999.0
7_8,XY,sum,-587431777.4882843,-2700215.597909326,-999.0,-999.0
7_8,XY,1783,8436223.009526532,19100.86121554679,-999.0,-999.0
7_8,XY,872,8464715.128564714,23841.815524602396,-999.0,-999.0
7_8,XY,41,8439721.006891549,35503.30170355337,-999.0,-999.0
7_8,XY,281,8440431.454804787,42231.958231883495,-999.0,-999.0
7_8,XY,2063,8420936.80845421,21353.731456953854,-999.0,-999.0
9_10,XY,sum,-586812788.5269126,-25118465.541785058,-999.0,-999.0
9_10,XY,1783,8465570.964716906,34403.31247971522,-999.0,-999.0
9_10,XY,872,8508025.220727429,24589.345880998313,-999.0,-999.0
9_10,XY,41,8424035.134820458,36080.9328962212,-999.0,-999.0
9_10,XY,281,8485052.334270539,3151.754628328853,-999.0,-999.0
9_10,XY,2063,8443824.524746489,90.5174546167627,-999.0,-999.0
