XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-498205120.93041027,-70104141428.78232,-999.0,-999.0
1_2,XY,1783,8391849.707664233,26637.564266545334,-999.0,-999.0
1_2,XY,872,8484087.077881534,28610.478330504528,-999.0,-999.0
1_2,XY,41,8425048.71150803,30359.887084143473,-999.0,-999.0
1_2,XY,281,8433367.120957738,27618.203381871594,-999.0,-999.0
1_2,XY,2063,8450561.23052826,24858.421180616988,-999.0,-999.0
4_3,XY,sum,-779950188.4180242,-37261390017.31391,-999.0,-999.0
4_3,XY,1783,8404338.586937524,26631.396468215204,-999.0,-999.0
4_3,XY,872,8471666.077957183,28478.273261883347,-999.0,-999.0
4_3,XY,41,8437594.103434613,30431.08630833745,-999.0,-999.0
4_3,XY,281,8464818.710409764,27346.633972641503,-999.0,-999.0
4_3,XY,2063,8445777.656261595,25257.836917473887,-999.0,-999.0
5_6,XY,sum,-271045420.0972777,-144316631.55739054,-999.0,-999.0
5_6,XY,1783,8312666.572900046,24204.662821468897,-999.0,-999.0
5_6,XY,872,8360584.895497001,25575.876533321654,-999.0,-999.0
5_6,XY,41,8346806.988546787,25724.69713778964,-999.0,-999.0
5_6,XY,281,8346243.435006282,24028.907554399204,-999.0,-999.0
5_6,XY,2063,8372988.560013042,22835.01320440907,-999.0,-999.0
7_8,XY,sum,-269937589.26280046,-143950014.43430588,-999.0,-999.0
7_8,XY,1783,8430957.678151103,24357.705543394964,-999.0,-999.0
7_8,XY,872,8445861.8013503,25572.151062438857,-999.0,-999.0
7_8,XY,41,8438926.081859019,29114.659753195432,-999.0,-999.0
7_8,XY,281,8425701.709631288,25784.548978449096,-999.0,-999.0
7_8,XY,2063,8436003.957524125,22326.65597310997,-999.0,-999.0
9_10,XY,sum,-1088635602.2122061,-65631319719.85831,-999.0,-999.0
9_10,XY,1783,8452358.316867478,26904.09383091218,-999.0,-999.0
9_10,XY,872,8500629.712997502,28033.88481983725,-999.0,-999.0
9_10,XY,41,8425849.380356278,29073.478013585365,-999.0,-999.0
9_10,XY,281,8481586.855457384,26410.393443928886,-999.0,-999.0
9_10,XY,2063,8438538.72272108,24682.451481036453,-999.0,-999.0
