XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-3387528293.9370747,-292397676.9599291,-999.0,-999.0
1_2,XY,1783,8350787.10622512,35260.50134845503,-999.0,-999.0
1_2,XY,872,8474270.972255135,36613.93419647033,-999.0,-999.0
1_2,XY,41,8390722.998382311,36751.7833066545,-999.0,-999.0
1_2,XY,281,8412021.945606502,34245.32244591119,-999.0,-999.0
1_2,XY,2063,8412330.851771615,30880.777823052224,-999.0,-999.0
4_3,XY,sum,-1093666010.5219939,-3685167.8150167023,-999.0,-999.0
4_3,XY,1783,8370044.367782967,37065.02100707975,-999.0,-999.0
4_3,XY,872,8452027.655473901,37226.27611324968,-999.0,-999.0
4_3,XY,41,8394799.470471812,36809.76429094509,-999.0,-999.0
4_3,XY,281,8425014.25662037,34284.846180648055,-999.0,-999.0
4_3,XY,2063,8411116.812362308,29721.644437689753,-999.0,-999.0
5_6,XY,sum,-385758064.59252214,-1198603.178724218,-999.0,-999.0
5_6,XY,1783,8262694.783753016,22873.07587687556,-999.0,-999.0
5_6,XY,872,8342546.637871089,23837.675421178494,-999.0,-999.0
5_6,XY,41,8330983.959587719,33271.718591580335,-999.0,-999.0
5_6,XY,281,8285242.2163553685,32231.160256681003,-999.0,-999.0
5_6,XY,2063,8317460.733353711,21140.71685490163,-999.0,-999.0
7_8,XY,sum,-375055127.56126547,-904190.3201409717,-999.0,-999.0
7_8,XY,1783,8378979.493966506,23141.327772314482,-999.0,-999.0
7_8,XY,872,8414956.25679395,33047.77404460673,-999.0,-999.0
7_8,XY,41,8404063.311161082,46789.18444807585,-999.0,-999.0
7_8,XY,281,8354513.286157081,39660.41678691722,-999.0,-999.0
7_8,XY,2063,8359638.27272619,21303.900183985836,-999.0,-999.0
9_10,XY,sum,-1321201397.8267035,-21223421.390668668,-999.0,-999.0
9_10,XY,1783,8414384.80546186,34406.903188570664,-999.0,-999.0
9_10,XY,872,8463129.27507696,34622.45629807725,-999.0,-999.0
9_10,XY,41,8383076.01271761,35987.33557016128,-999.0,-999.0
9_10,XY,281,8432062.874128869,34344.46367972673,-999.0,-999.0
9_10,XY,2063,8383274.104985872,21662.636772585833,-999.0,-999.0
