XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-498205120.93041027,-70104141428.78232,-999.0,-999.0
1_2,XY,1783,8274531.849208804,27830.790575219617,-999.0,-999.0
1_2,XY,872,8370988.767766153,28554.83063396128,-999.0,-999.0
1_2,XY,41,8300206.998093837,38248.6679232289,-999.0,-999.0
1_2,XY,281,8312406.36810774,26747.89120660711,-999.0,-999.0
1_2,XY,2063,8323433.822378531,25228.961474223026,-999.0,-999.0
4_3,XY,sum,-779950188.4180242,-37261390017.31391,-999.0,-999.0
4_3,XY,1783,8282866.276502161,27897.025521702064,-999.0,-999.0
4_3,XY,872,8357021.643260685,28531.27895512949,-999.0,-999.0
4_3,XY,41,8326455.9476840235,31516.254464787286,-999.0,-999.0
4_3,XY,281,8342104.0161328055,27909.983380920243,-999.0,-999.0
4_3,XY,2063,8317148.267592095,25508.533614976688,-999.0,-999.0
5_6,XY,sum,-271045420.0972777,-144316631.55739054,-999.0,-999.0
5_6,XY,1783,8193396.027602413,23317.180346259353,-999.0,-999.0
5_6,XY,872,8243589.48098267,25488.621456853052,-999.0,-999.0
5_6,XY,41,8242155.20271241,29786.68131618225,-999.0,-999.0
5_6,XY,281,8220036.637652547,24416.722538056278,-999.0,-999.0
5_6,XY,2063,8244360.690861669,21941.076763940786,-999.0,-999.0
7_8,XY,sum,-269937589.26280046,-143950014.43430588,-999.0,-999.0
7_8,XY,1783,8311126.380419195,23297.766113570346,-999.0,-999.0
7_8,XY,872,8327216.177057194,24395.68894338494,-999.0,-999.0
7_8,XY,41,8322588.677024225,28678.916719203124,-999.0,-999.0
7_8,XY,281,8296672.170946982,26114.124909822516,-999.0,-999.0
7_8,XY,2063,8304856.731809025,21649.01935799235,-999.0,-999.0
9_10,XY,sum,-1088635602.2122061,-65631319719.85831,-999.0,-999.0
9_10,XY,1783,8331414.703327284,25957.664531880288,-999.0,-999.0
9_10,XY,872,8382382.995777059,28021.160874330544,-999.0,-999.0
9_10,XY,41,8312693.475661198,29861.35455758949,-999.0,-999.0
9_10,XY,281,8357668.3197925305,26935.932545303505,-999.0,-999.0
9_10,XY,2063,8307510.830867209,24760.82380471621,-999.0,-999.0
