XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-4047820932.4001656,-3627870921.186709,-999.0,-999.0
1_2,XY,1783,8462376.827605981,25193.049316445577,-999.0,-999.0
1_2,XY,872,8580122.629628029,36724.02722668454,-999.0,-999.0
1_2,XY,41,8489671.097506007,37065.975169714955,-999.0,-999.0
1_2,XY,281,8524499.986604342,35175.29409654521,-999.0,-999.0
1_2,XY,2063,8529443.592584593,23023.740323538088,-999.0,-999.0
4_3,XY,sum,-259955714.47271723,-934253.7917013024,-999.0,-999.0
4_3,XY,1783,8475712.69213324,34884.29221282363,-999.0,-999.0
4_3,XY,872,8544659.504674291,24995.93480999314,-999.0,-999.0
4_3,XY,41,8494927.817384323,37084.872712407305,-999.0,-999.0
4_3,XY,281,8539669.999808842,34541.43340182323,-999.0,-999.0
4_3,XY,2063,8526664.4372564,30273.041134452997,-999.0,-999.0
5_6,XY,sum,-15588023614.757402,-6692317674.749085,-999.0,-999.0
5_6,XY,1783,8385855.733531036,22990.367241633066,-999.0,-999.0
5_6,XY,872,8450541.93328643,22645.864600301444,-999.0,-999.0
5_6,XY,41,8401799.760609552,83721.54751140885,-999.0,-999.0
5_6,XY,281,8410378.866113484,32652.88132716835,-999.0,-999.0
5_6,XY,2063,8439425.929537857,21290.21962232204,-999.0,-999.0
7_8,XY,sum,-587378971.006358,-48400102.29476135,-999.0,-999.0
7_8,XY,1783,8500563.724191153,19352.668954643836,-999.0,-999.0
7_8,XY,872,8529267.077543043,24372.74814752,-999.0,-999.0
7_8,XY,41,8504097.655766802,35484.921077846564,-999.0,-999.0
7_8,XY,281,8503982.649299353,42403.93268491712,-999.0,-999.0
7_8,XY,2063,8485461.94731424,25824.0447174481,-999.0,-999.0
9_10,XY,sum,-1525932525.3260572,-1833993.7390152768,-999.0,-999.0
9_10,XY,1783,8529163.641247923,34618.00768433906,-999.0,-999.0
9_10,XY,872,8571978.16021473,24750.171940965243,-999.0,-999.0
9_10,XY,41,8487217.701393347,36330.491294546715,-999.0,-999.0
9_10,XY,281,8548972.39436499,25024.876495648536,-999.0,-999.0
9_10,XY,2063,8507508.073378164,317.7877287992119,-999.0,-999.0
