XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-498205120.93041027,-70104141428.78232,-999.0,-999.0
1_2,XY,1783,8392865.874016786,26631.980912135492,-999.0,-999.0
1_2,XY,872,8485073.54654948,28609.530602197072,-999.0,-999.0
1_2,XY,41,8426059.58888465,30328.43207020842,-999.0,-999.0
1_2,XY,281,8434521.406952322,27622.765071546033,-999.0,-999.0
1_2,XY,2063,8451752.675426481,24854.74636533353,-999.0,-999.0
4_3,XY,sum,-779950188.4180242,-37261390017.31391,-999.0,-999.0
4_3,XY,1783,8405345.742806815,26631.867497469597,-999.0,-999.0
4_3,XY,872,8472710.864415336,28476.016045836524,-999.0,-999.0
4_3,XY,41,8438655.14251701,30413.69430862476,-999.0,-999.0
4_3,XY,281,8465925.673739728,27341.53621558315,-999.0,-999.0
4_3,XY,2063,8446958.859003147,25250.72050852788,-999.0,-999.0
5_6,XY,sum,-271045420.0972777,-144316631.55739054,-999.0,-999.0
5_6,XY,1783,8313774.843536539,24208.485580352008,-999.0,-999.0
5_6,XY,872,8361707.120056334,25575.30300394716,-999.0,-999.0
5_6,XY,41,8347797.897848646,25724.07156560657,-999.0,-999.0
5_6,XY,281,8347381.795527369,24028.314660376393,-999.0,-999.0
5_6,XY,2063,8374184.224341547,22834.51158209891,-999.0,-999.0
7_8,XY,sum,-269937589.26280046,-143950014.43430588,-999.0,-999.0
7_8,XY,1783,8432076.418917714,24357.624820779427,-999.0,-999.0
7_8,XY,872,8446920.567554476,25570.974861621853,-999.0,-999.0
7_8,XY,41,8440065.556709586,29283.138845084686,-999.0,-999.0
7_8,XY,281,8426908.027397301,25770.854822355665,-999.0,-999.0
7_8,XY,2063,8437172.845581317,22326.784841154742,-999.0,-999.0
9_10,XY,sum,-1088635602.2122061,-65631319719.85831,-999.0,-999.0
9_10,XY,1783,8453468.32478317,26903.386263300275,-999.0,-999.0
9_10,XY,872,8501672.236228608,28032.172288247584,-999.0,-999.0
9_10,XY,41,8426883.854477057,29025.26562917043,-999.0,-999.0
9_10,XY,281,8482691.166225722,26393.753943505963,-999.0,-999.0
9_10,XY,2063,8439672.116928013,24681.761424050448,-999.0,-999.0
