XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-848380300.7234222,-49002064.907863475,-999.0,-999.0
1_2,XY,1783,3194876.640882465,13.006427098228155,-999.0,-999.0
1_2,XY,872,3232429.4672828475,12746.78908538026,-999.0,-999.0
1_2,XY,41,3194456.1872785822,7830.724582983576,-999.0,-999.0
1_2,XY,281,3207489.895327935,7534.402023344094,-999.0,-999.0
1_2,XY,2063,3197559.086264198,6866.865719811024,-999.0,-999.0
4_3,XY,sum,-783855281.654515,-1889392.0029214022,-999.0,-999.0
4_3,XY,1783,3201928.875078096,4968.527351837038,-999.0,-999.0
4_3,XY,872,3213575.3664389886,27.628976635520207,-999.0,-999.0
4_3,XY,41,3208796.1096375133,8040.315786959825,-999.0,-999.0
4_3,XY,281,3218283.5987846805,7478.932098371164,-999.0,-999.0
4_3,XY,2063,3195194.536293199,6896.491405222805,-999.0,-999.0
5_6,XY,sum,-1177912399.7032936,-3615121.3109721676,-999.0,-999.0
5_6,XY,1783,3160937.5167656066,6537.184853240207,-999.0,-999.0
5_6,XY,872,3187364.026020073,10791.3362199243,-999.0,-999.0
5_6,XY,41,3168993.695152488,8412.047494352762,-999.0,-999.0
5_6,XY,281,3176430.8489835025,8155.081362879004,-999.0,-999.0
5_6,XY,2063,3164431.853497946,4.553194293131087,-999.0,-999.0
7_8,XY,sum,-129469227.01502182,-651996.5296124006,-999.0,-999.0
7_8,XY,1783,3200812.2047629296,12.104786200030153,-999.0,-999.0
7_8,XY,872,3207029.223977576,19.077705546137366,-999.0,-999.0
7_8,XY,41,3209337.004117395,8616.307858058322,-999.0,-999.0
7_8,XY,281,3206357.7377933534,6394.413466694908,-999.0,-999.0
7_8,XY,2063,3194106.1893338338,5828.398729437822,-999.0,-999.0
9_10,XY,sum,-238125549.08312482,-665014.5282473295,-999.0,-999.0
9_10,XY,1783,3216261.3146498622,230.443971573587,-999.0,-999.0
9_10,XY,872,3234263.388118437,7833.344109336054,-999.0,-999.0
9_10,XY,41,3200397.006760712,24.30160307983128,-999.0,-999.0
9_10,XY,281,3221041.2114875116,7733.692684601959,-999.0,-999.0
9_10,XY,2063,3198464.925630196,66.25449720663487,-999.0,-999.0
