XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-507098449.9173434,-65925607585.16987,-999.0,-999.0
1_2,XY,1783,3245423.830378199,11250.481540652012,-999.0,-999.0
1_2,XY,872,3288032.311686731,11608.553335595569,-999.0,-999.0
1_2,XY,41,3258070.9158370905,15270.421126053643,-999.0,-999.0
1_2,XY,281,3260792.897924539,10961.046741659366,-999.0,-999.0
1_2,XY,2063,3265586.047163131,9852.634939203204,-999.0,-999.0
4_3,XY,sum,-792666323.3049306,-37868888873.248886,-999.0,-999.0
4_3,XY,1783,3249430.116694282,11032.50777557972,-999.0,-999.0
4_3,XY,872,3277954.3628864507,11556.841491860112,-999.0,-999.0
4_3,XY,41,3268704.9045958966,12820.948292547217,-999.0,-999.0
4_3,XY,281,3272614.1227407004,11234.487331755307,-999.0,-999.0
4_3,XY,2063,3261558.8682091096,10308.310421349104,-999.0,-999.0
5_6,XY,sum,-275464480.57753944,-145638168.66938806,-999.0,-999.0
5_6,XY,1783,3210297.1160023906,9744.647840590304,-999.0,-999.0
5_6,XY,872,3234109.3964350135,10043.502130443565,-999.0,-999.0
5_6,XY,41,3232622.904064253,11951.645042010776,-999.0,-999.0
5_6,XY,281,3225115.4657189795,9985.166631579577,-999.0,-999.0
5_6,XY,2063,3235694.212601954,8909.735948863563,-999.0,-999.0
7_8,XY,sum,-274338589.70008034,-145267927.7993088,-999.0,-999.0
7_8,XY,1783,3258720.7916198624,9576.11242009186,-999.0,-999.0
7_8,XY,872,3268487.9602068667,10366.278790706767,-999.0,-999.0
7_8,XY,41,3266804.1209479505,11580.253529988895,-999.0,-999.0
7_8,XY,281,3255704.8078027247,10655.569075621492,-999.0,-999.0
7_8,XY,2063,3258745.8225919507,8989.72651999663,-999.0,-999.0
9_10,XY,sum,-1106384411.7544534,-66701334496.90486,-999.0,-999.0
9_10,XY,1783,3268143.9091427913,10473.557848086983,-999.0,-999.0
9_10,XY,872,3292368.654140501,11353.780586947472,-999.0,-999.0
9_10,XY,41,3260769.8270391114,12089.015402099312,-999.0,-999.0
9_10,XY,281,3277305.0092711444,10931.791704031311,-999.0,-999.0
9_10,XY,2063,3257322.825945821,11451.921344103463,-999.0,-999.0
